 ,Mean1,Mean2,Mean3,Mean4
630,2791.458,3916.350,3990.333,3693.909
631,2803.271,3937.500,3986.976,3693.977
632,2806.375,3918.550,4012.738,3688.318
633,2806.229,3911.650,4013.286,3704.409
634,2804.375,3901.500,3983.238,3708.455
635,2806.375,3909.950,4000.595,3690.114
636,2815.562,3948.200,3993.333,3680.295
637,2789.167,3937.200,3996.643,3675.341
638,2816.438,3937.900,4003.167,3701.523
639,2793.375,3897.800,3983.548,3688.614
640,2802.271,3933.350,3988.643,3699.318
641,2795.479,3915.900,3981.500,3723.659
642,2815.729,3925.700,4006.595,3701.727
643,2816.625,3900.600,3994.786,3685.636
644,2799.458,3907.300,3991.024,3689.818
645,2813.312,3914.600,3983.286,3675.682
646,2811.896,3938.750,4007.214,3716.250
647,2806.021,3920.400,4002.095,3686.614
648,2811.854,3906.200,3974.643,3703.955
649,2791.771,3901.900,4011.072,3697.182
650,2804.354,3923.900,4022.310,3700.045
651,2811.812,3938.900,3984.738,3671.409
652,2810.417,3904.500,3997.976,3704.455
653,2804.812,3920.500,3993.690,3688.273
654,2800.271,3910.950,3981.143,3693.636
655,2798.167,3925.400,3991.452,3690.114
656,2792.833,3920.750,3991.810,3691.523
657,2794.167,3918.850,3991.762,3684.273
658,2800.583,3893.400,3978.333,3697.977
659,2797.729,3930.350,3993.667,3680.500
660,2794.021,3907.850,3981.190,3687.227
661,2792.396,3881.300,3995.095,3688.364
662,2805.104,3922.500,3994.262,3691.886
663,2792.042,3899.000,3991.881,3683.159
664,2799.208,3929.450,4004.976,3689.500
665,2789.688,3903.450,3992.262,3694.045
666,2792.708,3947.450,4002.072,3676.250
667,2805.604,3894.300,3957.381,3699.318
668,2794.604,3925.800,4011.095,3691.227
669,2789.979,3876.200,3971.214,3693.386
670,2799.542,3947.600,3979.143,3667.159
671,2793.500,3911.200,3989.024,3694.136
672,2797.833,3903.900,3991.500,3679.727
673,2801.083,3923.200,4002.572,3705.227
674,2809.917,3916.550,3977.048,3672.773
675,2797.250,3871.300,3984.738,3691.727
676,2794.833,3914.750,4012.286,3677.023
677,2795.354,3899.500,3988.333,3688.568
678,2795.250,3923.200,3982.119,3685.455
679,2807.271,3895.350,3968.357,3673.909
680,2798.146,3928.000,3984.167,3682.250
681,2781.771,3935.300,4003.238,3679.614
682,2786.771,3901.400,3992.428,3679.273
683,2800.854,3902.600,4007.572,3688.932
684,2780.625,3886.950,3978.143,3684.023
685,2796.958,3925.500,3977.381,3680.182
686,2791.042,3917.450,3970.428,3693.227
687,2799.833,3916.850,3962.428,3688.977
688,2791.000,3905.000,3993.024,3683.705
689,2795.146,3889.350,3995.976,3691.091
690,2791.333,3905.650,4001.262,3690.545
691,2806.229,3929.500,3986.976,3676.591
692,2807.021,3934.100,3986.024,3686.273
693,2794.938,3913.500,3982.048,3686.227
694,2797.521,3912.100,3999.072,3705.091
695,2807.542,3926.750,4004.048,3681.045
696,2779.417,3896.400,3976.500,3680.250
697,2791.000,3928.800,3999.476,3693.023
698,2796.521,3920.550,4010.595,3694.273
699,2797.604,3915.300,3999.286,3686.909
700,2789.812,3900.150,3990.333,3668.568
701,2791.458,3888.300,3979.214,3677.114
702,2787.521,3883.800,3993.214,3678.523
703,2800.625,3912.750,3970.095,3702.386
704,2773.875,3914.650,3991.786,3692.227
705,2790.667,3889.100,4008.548,3668.273
706,2796.688,3902.350,3967.595,3678.864
707,2802.062,3899.550,4001.262,3688.455
708,2780.750,3886.100,3977.976,3681.750
709,2779.438,3873.600,3974.095,3687.977
710,2808.125,3939.950,3977.786,3673.659
711,2806.792,3930.800,3981.881,3685.795
712,2788.542,3935.200,4002.381,3670.500
713,2791.812,3910.800,3980.286,3683.000
714,2788.458,3889.700,3976.690,3679.182
715,2795.438,3901.450,3980.762,3677.045
716,2806.521,3925.150,3987.833,3691.023
717,2788.625,3880.500,3994.857,3673.500
718,2794.604,3898.200,3994.167,3678.045
719,2783.292,3898.250,3984.476,3694.273
720,2793.792,3896.650,3980.095,3681.227
721,2785.146,3921.500,3976.333,3671.955
722,2782.542,3921.150,3987.452,3677.091
723,2783.021,3892.400,3978.310,3653.159
724,2792.562,3890.800,4006.095,3674.409
725,2789.333,3900.700,3982.881,3690.341
726,2792.917,3922.050,3995.190,3674.227
727,2777.438,3869.850,3975.190,3691.682
728,2792.562,3914.900,3997.333,3668.750
729,2783.292,3930.500,3980.190,3678.727
730,2783.188,3881.300,3980.643,3693.205
731,2798.229,3902.500,3998.095,3691.000
732,2786.583,3875.300,3995.714,3664.295
733,2776.688,3898.000,3986.762,3667.159
734,2787.479,3888.700,3986.619,3679.318
735,2797.792,3902.050,3989.048,3687.114
736,2773.104,3895.700,3972.548,3683.523
737,2780.875,3906.400,3983.976,3680.500
738,2779.333,3891.650,3995.524,3654.432
739,2795.312,3905.500,3984.524,3659.091
740,2784.583,3892.700,3986.381,3695.568
741,2787.396,3894.100,3976.619,3689.250
742,2780.417,3910.100,3979.810,3674.500
743,2780.646,3885.600,3989.167,3679.386
744,2795.417,3877.250,3975.072,3690.909
745,2773.458,3889.350,3978.786,3674.591
746,2774.208,3908.150,3976.572,3684.750
747,2773.458,3903.300,3974.643,3683.818
748,2780.729,3925.700,3998.548,3684.591
749,2791.375,3897.250,3983.976,3673.545
750,2777.792,3898.300,3979.476,3684.500
751,2781.125,3863.250,3986.000,3700.227
752,2799.146,3909.250,3993.762,3674.114
753,2788.292,3901.250,3964.833,3687.636
754,2794.750,3873.600,3974.452,3685.091
755,2789.167,3917.200,3988.690,3664.295
756,2777.000,3903.100,3976.357,3676.045
757,2783.417,3878.200,3991.738,3674.318
758,2789.688,3908.450,3988.905,3702.409
759,2803.333,3898.000,3998.357,3673.318
760,2776.542,3889.650,3982.786,3701.068
761,2781.917,3890.350,3993.524,3662.591
762,2769.958,3913.200,3988.619,3689.591
763,2783.958,3877.250,3993.452,3678.273
764,2786.938,3896.250,3963.667,3701.682
765,2765.833,3864.400,4003.667,3677.773
766,2781.604,3922.250,3979.119,3669.227
767,2797.792,3898.300,4005.190,3667.318
768,2786.542,3893.750,3993.428,3678.159
769,2780.125,3886.200,3983.833,3679.750
770,2777.562,3878.550,3992.762,3679.386
771,2800.042,3893.850,3984.095,3668.386
772,2787.250,3885.550,4000.667,3682.159
773,2762.812,3857.750,4000.405,3681.455
774,2784.771,3879.400,3990.524,3686.136
775,2782.896,3909.300,3996.381,3671.205
776,2793.396,3902.850,3979.238,3673.773
777,2799.708,3931.550,3992.690,3671.955
778,2780.104,3888.950,3987.428,3677.341
779,2771.479,3903.450,3976.905,3675.523
780,2776.625,3878.650,3980.643,3679.955
781,2793.771,3889.250,3971.833,3679.432
782,2788.917,3894.100,4002.762,3675.636
783,2779.542,3900.000,3987.381,3702.455
784,2776.750,3911.050,3983.595,3681.864
785,2772.438,3870.400,4010.095,3695.409
786,2781.896,3900.100,3972.428,3685.909
787,2786.292,3904.800,3984.167,3679.318
788,2779.812,3886.650,3994.738,3689.932
789,2796.104,3888.000,3965.476,3692.455
790,2779.708,3894.200,4003.476,3678.386
791,2760.458,3911.400,3978.048,3681.523
792,2789.833,3932.650,3989.762,3678.091
793,2795.229,3898.200,4007.595,3687.045
794,2789.167,3881.250,3985.857,3675.250
795,2781.771,3909.900,3986.333,3668.091
796,2781.271,3904.400,3970.167,3662.477
797,2788.083,3890.950,3962.833,3683.136
798,2775.458,3934.400,3990.310,3676.227
799,2789.708,3924.750,4001.643,3666.318
800,2763.938,3851.850,3973.048,3661.000
