 ,Mean1,Mean2,Mean3,Mean4
145,3243.875,4514.600,4140.024,3840.455
146,3219.083,4505.100,4123.667,3846.614
147,3223.375,4481.500,4127.952,3827.750
148,3180.312,4502.150,4113.714,3826.000
149,3189.104,4506.400,4120.310,3811.818
150,3180.271,4437.300,4085.881,3811.250
151,3162.458,4462.950,4085.833,3815.295
152,3162.833,4463.750,4069.667,3800.455
153,3161.792,4441.000,4069.810,3793.295
154,3140.062,4430.800,4078.048,3765.523
155,3140.708,4399.300,4047.881,3792.182
156,3137.229,4414.950,4070.310,3790.455
157,3125.771,4392.350,4056.143,3778.568
158,3131.729,4382.900,4038.667,3782.159
159,3125.250,4387.900,4039.738,3757.977
160,3100.521,4345.050,4059.762,3767.250
161,3114.146,4353.400,4032.167,3751.477
162,3087.208,4332.900,4064.524,3737.205
163,3101.792,4327.200,4031.738,3741.273
164,3110.104,4334.500,4054.095,3746.114
165,3074.875,4325.500,4021.262,3733.409
166,3101.438,4319.150,4041.357,3737.568
167,3084.521,4276.200,4018.476,3742.545
168,3060.375,4294.150,4030.595,3759.000
169,3079.167,4322.200,4040.976,3744.295
170,3065.667,4314.950,4034.476,3724.136
171,3052.146,4280.650,4028.095,3737.955
172,3060.396,4284.700,4030.976,3712.273
173,3061.104,4288.400,4041.714,3713.500
174,3045.625,4259.650,4025.548,3727.682
175,3031.792,4240.650,4035.119,3731.000
176,3023.104,4247.650,4013.119,3726.568
177,3030.167,4235.250,4028.000,3712.341
178,3021.521,4241.400,4031.262,3738.818
179,3023.625,4217.300,4020.357,3723.386
180,3011.000,4212.100,4029.595,3743.091
181,3001.604,4218.450,4010.143,3734.409
182,3001.021,4215.450,4020.214,3714.182
183,3006.375,4208.700,4028.452,3728.682
184,2986.479,4186.300,4033.286,3729.705
185,2995.708,4178.350,4024.119,3707.318
186,2978.583,4217.450,4026.190,3717.841
187,2992.354,4184.750,4019.810,3701.159
188,2972.833,4173.250,4051.500,3712.705
189,2966.604,4187.950,4038.786,3713.977
190,2981.562,4173.750,4028.786,3703.341
191,2965.417,4182.300,4028.143,3709.523
192,2965.542,4167.700,4040.857,3729.295
193,2967.354,4148.800,4012.595,3717.114
194,2969.562,4154.450,4025.214,3703.818
195,2961.125,4173.850,4037.857,3704.409
196,2963.854,4163.800,4036.905,3713.864
197,2961.854,4122.100,4017.310,3697.909
198,2959.771,4129.550,4028.452,3736.659
199,2957.938,4143.550,4035.524,3705.955
200,2939.250,4137.650,4004.095,3718.545
201,2937.625,4156.450,4025.381,3711.591
202,2946.979,4128.000,4034.738,3725.909
203,2937.042,4152.350,4014.405,3717.273
204,2927.125,4124.800,4009.476,3734.364
205,2950.104,4114.900,4016.690,3693.182
206,2925.021,4130.650,4036.119,3713.477
207,2953.521,4144.650,4020.881,3704.045
208,2938.854,4108.550,4018.928,3702.000
209,2933.167,4139.550,4042.072,3717.909
210,2924.667,4102.500,4000.952,3714.568
211,2932.938,4100.500,4020.214,3729.818
212,2900.854,4132.700,4004.310,3727.818
213,2929.250,4133.300,4035.524,3699.864
214,2916.417,4145.050,4038.762,3689.341
215,2932.021,4121.050,4025.667,3718.295
216,2921.292,4099.050,4030.310,3706.295
217,2926.417,4115.700,4035.095,3728.818
218,2913.354,4112.850,4034.714,3703.295
219,2906.875,4128.850,4004.810,3717.614
220,2932.375,4126.150,4033.310,3708.341
221,2923.271,4122.600,4039.310,3711.159
222,2916.417,4130.500,4018.572,3712.341
223,2920.188,4087.700,4015.167,3708.455
224,2919.604,4105.000,4007.024,3717.432
225,2916.562,4136.000,4011.905,3707.045
226,2919.750,4106.500,4014.119,3713.500
227,2928.667,4112.350,4029.738,3704.318
228,2932.938,4090.650,4021.190,3732.545
229,2928.083,4100.850,4024.452,3701.909
230,2913.771,4103.450,4016.214,3724.295
231,2908.625,4091.700,4032.190,3711.636
232,2914.146,4107.800,4026.072,3733.045
233,2907.396,4110.250,4012.667,3711.409
234,2918.688,4096.850,4019.333,3708.409
235,2918.062,4113.400,4035.810,3702.909
236,2906.479,4086.500,4045.214,3731.545
237,2917.500,4090.100,3992.619,3702.659
238,2916.896,4096.650,4000.928,3721.250
239,2906.875,4121.300,4025.381,3720.182
240,2902.229,4073.550,4041.000,3700.773
241,2919.438,4098.100,4016.643,3718.136
242,2920.083,4120.950,4018.000,3721.455
243,2893.979,4066.450,4010.119,3732.705
244,2908.708,4132.400,4042.476,3708.182
245,2902.521,4080.800,4033.214,3696.818
246,2904.083,4072.150,4030.000,3704.545
247,2893.646,4070.550,4017.357,3727.750
248,2900.562,4078.000,4045.190,3695.795
249,2893.312,4096.700,4022.119,3688.500
250,2885.667,4113.400,3996.762,3697.182
251,2889.271,4070.300,4045.857,3707.659
252,2882.521,4099.200,4033.024,3710.409
253,2893.708,4099.300,4015.072,3716.159
254,2888.604,4106.700,4035.667,3713.955
255,2899.000,4042.650,4019.381,3700.659
