 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14
44,3214.000,3110.444,4408.364,4025.569,3820.231,3337.614,3989.750,3004.000,4237.500,4549.400,4487.286,4379.286,4194.531,4322.875
45,3194.727,3104.667,4401.727,4024.379,3796.192,3331.318,4009.250,2968.500,4251.500,4529.400,4505.429,4368.952,4191.281,4365.500
46,3188.727,3102.000,4411.273,4043.121,3796.731,3303.386,3959.750,3000.500,4306.000,4520.000,4492.714,4379.143,4187.875,4396.250
47,3248.727,3129.333,4411.091,4030.362,3801.692,3323.864,3977.250,3004.250,4283.500,4462.200,4504.000,4381.952,4188.438,4377.250
48,3208.273,3104.222,4366.545,4008.155,3801.269,3346.068,3955.250,2984.250,4284.000,4539.700,4498.286,4356.381,4222.188,4377.875
49,3196.273,3108.778,4431.455,4029.828,3791.539,3341.341,3949.250,3009.625,4284.500,4511.300,4475.190,4396.190,4223.500,4365.625
50,3228.091,3064.000,4382.545,4018.500,3797.692,3348.159,4002.000,3035.875,4191.500,4523.400,4464.190,4389.714,4193.906,4361.750
51,3238.727,3086.444,4398.000,4032.638,3791.731,3334.500,3980.750,3016.375,4299.000,4513.100,4491.857,4396.810,4188.781,4378.875
52,3197.364,3083.889,4411.818,4018.983,3796.731,3313.955,3942.250,3020.125,4222.500,4545.200,4466.619,4367.857,4187.719,4392.750
53,3224.000,3111.778,4402.909,4028.069,3805.961,3343.932,3904.750,3016.250,4158.000,4501.900,4488.857,4401.571,4206.688,4375.750
54,3235.455,3114.000,4378.636,4033.741,3794.385,3327.795,3925.500,3024.625,4360.500,4528.800,4483.381,4374.190,4187.125,4321.500
55,3219.545,3075.333,4402.000,4021.983,3809.961,3302.955,3980.750,3018.000,4393.500,4518.600,4478.714,4390.619,4201.000,4377.125
56,3184.727,3096.667,4441.364,4028.086,3807.192,3330.682,3909.000,2978.750,4218.000,4542.400,4449.857,4375.190,4190.781,4350.375
57,3237.091,3122.556,4428.364,4031.604,3775.731,3315.205,3975.500,2979.500,4274.500,4518.400,4496.762,4380.143,4161.719,4342.625
58,3207.636,3091.889,4391.455,4012.000,3814.385,3333.068,3996.250,2974.500,4263.000,4534.100,4480.048,4366.905,4191.375,4342.000
59,3211.182,3112.556,4390.364,4035.190,3789.192,3320.364,3962.250,2990.875,4295.500,4510.200,4462.143,4387.571,4199.375,4376.000
60,3228.000,3091.000,4387.182,4053.552,3817.154,3324.318,3943.000,2981.500,4236.000,4528.600,4475.857,4398.429,4186.625,4367.750
61,3189.364,3091.000,4435.909,4031.655,3806.731,3325.523,3999.500,3018.875,4317.000,4571.900,4497.381,4400.381,4225.656,4371.750
62,3188.273,3107.889,4397.909,4033.086,3804.654,3331.750,4009.500,3032.250,4233.500,4562.700,4470.333,4388.429,4209.719,4355.125
63,3198.455,3095.333,4358.000,4031.638,3778.346,3328.182,4009.750,2989.875,4203.000,4530.600,4444.000,4386.667,4183.469,4386.625
