 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16
39,3284.000,3135.056,3435.972,4276.539,4340.438,4438.080,4411.519,4487.500,4448.425,4456.273,4398.426,4184.307,4155.406,4217.450,4202.244,3786.252
40,3289.239,3132.944,3442.944,4268.154,4350.938,4442.613,4432.607,4472.275,4453.170,4476.682,4378.250,4197.966,4186.688,4211.425,4193.116,3786.356
41,3285.341,3134.000,3437.028,4272.269,4355.188,4451.233,4430.481,4472.950,4448.575,4465.364,4386.941,4178.057,4167.062,4206.150,4200.209,3785.009
42,3292.489,3148.639,3425.583,4283.346,4342.438,4440.059,4434.177,4475.225,4438.532,4455.000,4403.882,4196.466,4171.438,4196.112,4198.104,3780.513
43,3275.330,3146.028,3437.306,4295.039,4354.922,4434.285,4438.278,4470.212,4441.362,4443.136,4376.235,4199.898,4168.719,4198.550,4203.930,3784.861
44,3284.477,3135.278,3425.194,4279.615,4334.109,4457.643,4438.544,4464.875,4432.234,4452.091,4390.265,4196.193,4159.406,4211.638,4199.360,3780.200
45,3274.784,3131.056,3428.111,4275.692,4349.828,4435.985,4434.532,4464.237,4450.724,4485.841,4394.838,4182.852,4145.031,4221.150,4198.093,3778.443
46,3302.386,3139.444,3422.917,4282.423,4345.797,4444.416,4447.772,4492.587,4443.617,4461.182,4395.971,4195.670,4192.125,4200.575,4198.686,3780.374
47,3288.830,3143.917,3433.944,4239.577,4346.625,4461.161,4433.886,4475.300,4464.532,4472.318,4392.162,4201.489,4191.812,4196.638,4202.454,3793.983
48,3278.886,3141.167,3475.139,4272.731,4347.719,4445.803,4427.228,4489.538,4457.617,4441.614,4382.397,4172.216,4171.938,4201.500,4187.884,3780.887
49,3288.909,3159.194,3433.111,4265.500,4358.406,4435.869,4446.114,4490.325,4454.489,4463.159,4380.824,4185.216,4162.656,4217.913,4194.488,3786.383
50,3279.227,3144.556,3446.306,4286.808,4355.875,4454.693,4448.088,4482.000,4447.724,4451.136,4405.265,4202.125,4174.750,4201.300,4198.535,3778.713
51,3282.966,3137.194,3426.444,4258.461,4339.875,4423.139,4439.975,4469.112,4439.787,4470.795,4403.603,4192.739,4191.969,4200.175,4187.744,3786.661
52,3281.205,3148.694,3456.333,4241.269,4353.094,4450.810,4409.987,4475.600,4443.000,4464.318,4400.397,4172.636,4169.938,4198.462,4174.918,3780.539
53,3290.932,3139.472,3445.917,4269.615,4337.422,4432.869,4421.835,4494.913,4439.042,4447.341,4389.279,4191.614,4175.625,4203.350,4193.418,3781.922
54,3279.625,3155.250,3435.028,4259.846,4340.500,4446.956,4422.759,4481.775,4438.021,4435.773,4397.750,4183.750,4189.000,4210.962,4175.349,3772.409
55,3286.523,3150.306,3415.667,4279.692,4356.672,4441.394,4427.924,4500.450,4460.787,4442.250,4394.956,4192.364,4175.406,4194.500,4199.604,3776.722
56,3289.818,3158.861,3429.333,4307.615,4349.500,4443.431,4420.532,4481.225,4438.958,4470.750,4396.985,4177.375,4156.219,4193.150,4204.616,3780.356
57,3289.307,3152.417,3439.139,4280.808,4367.875,4429.671,4413.861,4497.100,4435.553,4467.818,4411.015,4181.330,4159.156,4201.900,4193.279,3783.296
58,3280.852,3152.528,3446.583,4267.461,4358.109,4450.949,4432.949,4474.812,4459.447,4446.636,4397.618,4193.443,4164.000,4175.750,4186.884,3785.861
59,3284.591,3154.222,3437.111,4255.615,4339.125,4445.416,4434.177,4476.712,4451.745,4458.477,4398.059,4220.193,4196.781,4198.913,4194.163,3783.174
60,3292.784,3150.972,3439.694,4249.885,4353.375,4451.175,4419.709,4487.725,4434.936,4446.909,4419.265,4194.966,4159.781,4205.663,4194.140,3788.965
61,3295.011,3155.139,3439.556,4284.923,4358.625,4455.146,4434.759,4469.538,4448.276,4455.614,4387.456,4202.011,4174.719,4196.050,4189.756,3801.965
