 ,Mean1,Mean2,Mean3,Mean4,Mean5
118,3661.027,3509.562,3696.635,3284.719,3865.800
119,3771.406,3567.750,3846.846,3263.344,3945.850
120,3893.865,3638.750,4012.808,3304.969,3976.350
121,4035.568,3735.781,4163.289,3298.812,4050.550
122,4212.784,3828.469,4289.077,3344.812,4126.700
123,4396.162,3924.750,4407.231,3389.688,4173.100
124,4527.459,4088.094,4481.673,3399.281,4278.250
125,4669.567,4237.750,4571.519,3431.062,4368.150
126,4773.297,4402.312,4619.385,3482.812,4408.150
127,4899.297,4541.375,4666.519,3531.844,4397.650
128,4984.378,4664.125,4689.904,3609.312,4437.450
129,5013.784,4766.406,4698.250,3659.344,4504.950
130,5088.811,4787.938,4734.231,3749.000,4480.100
131,5117.729,4895.281,4728.789,3811.531,4520.800
132,5171.000,4913.531,4755.865,3925.250,4542.300
133,5179.838,4919.156,4746.385,4028.875,4536.850
134,5179.865,4957.969,4764.269,4123.188,4552.400
135,5203.378,4969.375,4757.423,4231.438,4573.750
136,5200.108,4998.094,4784.750,4336.031,4576.650
137,5220.486,5006.438,4774.442,4485.719,4559.350
138,5224.000,4991.781,4774.519,4529.094,4581.200
139,5262.541,5018.094,4763.904,4622.688,4601.650
140,5262.676,5032.094,4761.365,4683.406,4555.750
141,5249.973,5012.750,4786.019,4756.906,4611.250
142,5274.243,5037.719,4775.500,4797.375,4588.950
143,5250.567,4988.500,4779.039,4811.844,4616.000
144,5247.271,5017.469,4816.635,4854.250,4576.650
145,5254.514,5016.938,4766.692,4890.406,4626.550
146,5270.811,5029.406,4780.077,4879.531,4566.800
147,5280.054,5038.938,4780.481,4932.125,4560.200
148,5278.892,5008.250,4767.308,4956.094,4574.050
149,5280.027,5039.344,4804.981,4972.094,4603.100
150,5270.595,5041.469,4779.981,4965.125,4645.050
151,5261.757,5030.125,4810.481,5011.875,4636.750
152,5278.027,5059.625,4785.808,5017.312,4652.700
153,5277.459,5023.531,4803.211,4987.500,4615.900
154,5313.541,5036.094,4787.808,4997.312,4626.200
155,5277.054,5027.562,4776.923,5013.125,4623.100
156,5275.081,5082.688,4787.115,5005.312,4572.650
157,5289.946,5045.156,4755.692,5063.688,4612.400
158,5266.622,5012.219,4772.692,5055.125,4618.400
159,5267.892,4998.125,4771.769,5062.094,4634.750
160,5290.514,5019.875,4760.635,5007.406,4618.200
161,5275.297,5053.375,4782.461,5051.812,4623.850
162,5265.567,5041.500,4757.615,5036.875,4641.300
163,5281.514,5040.094,4779.923,5032.375,4626.750
164,5284.054,5045.750,4766.289,5045.438,4586.800
165,5282.973,5022.250,4758.539,5069.094,4631.000
166,5267.081,5034.562,4736.135,5043.562,4603.500
167,5255.243,5040.250,4753.846,5048.812,4609.150
168,5264.703,5026.312,4753.923,5083.812,4613.500
169,5251.135,5039.094,4735.019,5044.594,4601.100
170,5268.622,5015.219,4758.327,5068.625,4627.250
171,5254.514,5001.500,4744.115,5078.188,4610.500
172,5292.622,5043.688,4731.923,5030.688,4597.900
173,5264.081,5002.750,4739.923,5088.156,4605.300
174,5264.297,5011.719,4743.365,5067.219,4609.550
175,5265.892,5023.781,4730.750,5090.469,4608.300
176,5250.703,5004.906,4743.135,5066.531,4615.100
177,5261.973,5013.531,4728.961,5111.750,4646.300
178,5252.243,5030.875,4745.961,5064.562,4626.200
179,5251.378,4998.250,4741.019,5049.156,4608.600
180,5248.433,5004.781,4721.308,5065.688,4613.150
181,5257.486,5003.094,4722.654,5055.156,4626.650
182,5271.297,5032.562,4737.519,5088.844,4590.300
183,5256.027,4992.906,4744.365,5071.844,4630.150
184,5248.892,5007.469,4757.942,5084.375,4636.800
185,5293.703,5016.906,4728.500,5064.188,4657.600
186,5240.459,4999.406,4751.096,5067.656,4579.700
187,5266.514,5016.781,4738.731,5051.125,4625.650
188,5262.595,4984.531,4739.096,5043.219,4593.350
189,5258.541,5024.250,4731.673,5041.781,4634.550
190,5273.648,5016.594,4712.308,5050.781,4623.300
191,5270.973,5042.688,4735.000,5063.438,4629.300
192,5272.271,5032.188,4734.039,5058.375,4592.900
193,5264.648,5033.125,4713.558,5060.688,4614.650
194,5261.729,5009.219,4722.192,5054.719,4611.900
195,5288.216,5007.562,4729.250,5068.562,4575.650
196,5266.757,5023.719,4719.596,5046.312,4601.600
197,5277.729,5023.469,4718.077,5049.625,4647.300
198,5239.865,5012.125,4729.442,5035.969,4621.800
199,5273.324,5010.281,4702.500,5056.938,4567.050
200,5262.243,5003.281,4730.289,5059.531,4606.150
201,5249.135,5005.031,4722.558,5028.250,4569.950
202,5262.676,5009.781,4705.269,5062.188,4620.650
203,5226.027,5024.281,4716.173,5048.344,4621.200
204,5250.081,5012.406,4715.115,5031.406,4573.600
205,5220.378,5002.094,4706.500,5044.344,4591.250
206,5225.324,5003.188,4712.500,5042.281,4559.000
207,5237.838,4991.250,4706.865,5061.562,4601.500
208,5217.865,4992.156,4682.577,5035.781,4580.650
209,5233.243,4985.438,4681.269,5056.500,4585.200
210,5201.486,5013.906,4694.365,5027.469,4611.800
211,5244.541,4979.031,4684.904,5031.219,4620.200
212,5231.486,4997.906,4662.019,5006.031,4613.850
213,5229.595,4986.375,4671.615,5040.812,4609.950
214,5244.352,5014.344,4680.711,5042.250,4568.400
215,5253.676,4974.219,4693.250,5025.406,4628.750
216,5266.811,4978.219,4695.558,5044.906,4557.950
217,5216.378,5007.719,4675.192,5046.312,4597.250
218,5208.514,5000.031,4695.135,5041.719,4607.200
219,5224.216,5008.500,4686.615,5000.125,4553.500
220,5224.648,4994.531,4661.673,5031.250,4614.650
221,5205.243,4986.062,4687.346,5013.719,4581.350
222,5220.433,4968.219,4692.077,5041.875,4575.700
223,5213.405,5004.719,4664.846,5016.812,4560.400
224,5222.459,4968.094,4665.654,5000.719,4573.350
225,5216.676,4969.125,4675.154,5048.781,4593.600
226,5195.405,4971.094,4672.365,4972.844,4603.000
227,5227.811,5002.781,4691.000,5026.781,4607.400
228,5229.000,4952.781,4669.192,5027.969,4587.400
229,5214.973,4966.906,4670.673,5004.000,4576.900
230,5208.622,4985.375,4669.365,5021.844,4575.500
231,5216.162,4968.781,4668.961,5006.438,4607.650
232,5246.459,4964.281,4661.365,5024.219,4592.750
233,5203.081,4964.656,4654.327,5016.312,4597.750
234,5201.054,4947.781,4672.789,4994.375,4627.150
235,5229.000,4982.000,4676.019,5008.312,4572.500
236,5206.027,4957.344,4683.173,4992.000,4583.550
237,5192.838,4956.156,4668.385,4969.062,4567.000
238,5200.595,4926.281,4671.423,5001.719,4564.500
239,5184.352,4933.656,4636.192,5016.906,4548.650
240,5185.243,4953.375,4653.596,5005.281,4567.700
241,5200.162,4981.188,4652.308,4991.844,4595.100
242,5207.271,4969.062,4672.308,5013.094,4569.500
243,5181.378,4935.094,4627.846,4974.781,4574.600
244,5216.784,4912.375,4646.231,4958.781,4562.450
245,5192.054,4955.156,4634.135,5007.438,4568.250
246,5184.162,4968.344,4638.039,5003.875,4577.850
247,5199.622,4945.719,4640.827,4984.375,4576.400
248,5166.865,4917.125,4645.942,5014.000,4589.700
249,5185.189,4956.094,4636.711,4992.594,4534.700
250,5175.000,4936.094,4634.115,4983.594,4614.450
251,5197.486,4914.719,4642.942,4993.000,4566.500
252,5167.243,4995.594,4631.789,4956.469,4566.100
253,5166.946,4945.375,4638.096,4979.469,4574.800
254,5158.622,4945.000,4624.673,4989.125,4588.550
255,5169.324,4933.062,4631.731,4970.469,4547.300
256,5173.486,4921.406,4627.308,4995.156,4550.600
257,5170.027,4952.969,4624.173,4959.594,4564.050
258,5170.108,4922.062,4624.769,4948.531,4562.750
259,5174.000,4947.750,4637.173,4966.969,4557.500
260,5154.973,4937.188,4627.981,4958.469,4556.950
261,5144.919,4934.812,4605.635,4982.344,4548.900
262,5175.729,4923.781,4646.808,4988.125,4565.750
263,5184.784,4933.562,4622.231,4958.469,4543.700
264,5156.676,4931.031,4647.827,4964.875,4547.000
265,5166.216,4952.906,4621.789,4962.312,4555.050
266,5156.054,4897.000,4617.211,4966.125,4580.200
267,5178.000,4915.906,4616.711,4968.125,4549.550
268,5166.595,4932.000,4639.981,4963.906,4550.200
269,5157.027,4930.969,4633.211,4949.375,4522.850
270,5171.216,4932.750,4620.519,4947.438,4554.700
271,5194.054,4950.312,4617.519,4952.594,4566.600
272,5171.054,4909.656,4620.558,4975.406,4558.650
273,5163.054,4921.688,4608.211,4967.000,4568.000
274,5180.352,4893.656,4592.558,4941.594,4542.800
275,5150.838,4926.594,4623.769,4981.125,4556.300
276,5194.811,4898.531,4586.904,4959.344,4570.150
277,5153.000,4953.219,4620.711,4967.188,4532.050
278,5142.135,4899.969,4630.077,4926.719,4509.250
279,5143.892,4912.844,4598.442,4940.250,4587.800
280,5180.271,4927.938,4601.404,4945.750,4574.050
281,5181.703,4906.531,4599.250,4929.875,4540.750
282,5148.271,4910.312,4600.885,4945.406,4562.150
283,5171.027,4918.938,4600.808,4958.906,4546.300
284,5149.271,4895.906,4602.135,4941.906,4567.700
285,5130.865,4886.312,4607.346,4913.156,4519.900
286,5148.676,4893.969,4596.750,4942.719,4544.150
287,5157.271,4910.656,4627.865,4944.031,4541.600
288,5131.486,4861.531,4594.750,4948.406,4584.800
289,5180.648,4918.438,4626.615,4915.594,4569.400
290,5153.271,4893.781,4605.481,4919.469,4515.850
291,5162.162,4892.469,4628.846,4927.281,4548.500
292,5171.784,4869.375,4590.192,4905.594,4529.650
293,5145.135,4894.875,4594.827,4945.562,4551.150
294,5142.784,4852.156,4606.615,4916.156,4586.250
295,5159.216,4860.688,4603.019,4916.938,4548.900
296,5132.324,4875.906,4581.885,4877.594,4525.900
297,5153.757,4890.750,4602.615,4921.531,4542.050
298,5120.567,4863.312,4582.096,4929.250,4572.300
299,5152.324,4878.375,4575.923,4908.125,4542.900
300,5131.757,4857.406,4589.269,4910.625,4561.350
301,5119.622,4886.031,4595.654,4888.656,4583.500
302,5139.973,4849.969,4596.711,4936.125,4527.600
303,5133.567,4867.281,4599.654,4945.094,4551.500
304,5138.622,4866.719,4582.942,4911.094,4555.550
305,5164.541,4879.250,4564.827,4915.219,4524.650
306,5148.919,4854.250,4576.461,4905.344,4527.300
307,5093.081,4872.938,4576.961,4915.188,4562.900
308,5135.271,4880.562,4562.827,4910.062,4516.750
309,5125.892,4829.719,4575.423,4896.062,4522.800
310,5124.216,4858.531,4566.385,4911.438,4505.000
311,5120.081,4847.375,4571.596,4919.219,4559.250
312,5110.081,4842.969,4566.077,4903.312,4541.700
313,5104.081,4838.562,4582.789,4901.000,4581.650
314,5116.729,4842.906,4579.827,4891.969,4534.550
315,5097.081,4858.625,4573.231,4861.875,4525.300
316,5105.216,4854.562,4568.481,4903.562,4520.700
317,5084.189,4850.062,4534.039,4889.625,4523.100
318,5106.811,4879.125,4575.173,4889.969,4507.050
319,5087.784,4857.406,4568.904,4890.750,4552.050
320,5116.243,4861.406,4564.289,4912.062,4522.050
321,5099.459,4863.750,4565.808,4885.500,4550.550
322,5107.459,4828.188,4552.077,4895.281,4517.450
323,5111.297,4829.531,4560.154,4917.344,4532.300
324,5121.162,4834.719,4590.750,4884.719,4511.850
325,5112.514,4812.844,4588.558,4886.344,4499.700
326,5125.622,4819.594,4550.096,4868.719,4495.600
327,5090.000,4819.625,4544.077,4883.438,4514.750
328,5086.595,4839.188,4592.192,4875.594,4528.000
329,5064.784,4803.875,4549.789,4858.688,4528.500
330,5115.757,4828.812,4545.615,4878.375,4528.650
331,5083.297,4806.312,4567.750,4897.719,4520.900
332,5053.595,4814.219,4542.731,4882.844,4523.250
333,5068.757,4806.562,4572.827,4877.438,4523.650
334,5065.486,4784.062,4552.346,4875.875,4522.200
335,5061.135,4821.375,4566.654,4869.219,4531.300
336,5081.892,4814.781,4555.404,4864.188,4518.050
337,5076.378,4780.281,4575.000,4880.719,4517.400
338,5084.459,4764.781,4539.519,4861.094,4500.100
339,5070.541,4791.906,4552.846,4840.188,4505.200
340,5079.865,4797.281,4520.250,4863.031,4481.900
341,5074.865,4807.781,4559.981,4853.500,4477.050
342,5055.000,4793.656,4538.673,4855.219,4551.650
343,5074.676,4769.281,4527.654,4853.562,4488.950
344,5089.757,4754.594,4536.423,4874.562,4482.600
345,5092.973,4781.844,4534.039,4855.906,4519.300
346,5085.676,4785.844,4538.173,4839.562,4500.500
347,5091.000,4798.625,4522.077,4826.812,4518.350
348,5078.811,4755.469,4538.923,4857.719,4522.900
349,5071.324,4761.750,4515.961,4860.438,4493.300
350,5043.729,4772.344,4533.250,4867.000,4518.100
351,5066.271,4757.594,4540.461,4853.812,4523.750
352,5067.000,4780.625,4550.289,4844.438,4531.350
353,5056.433,4767.844,4503.077,4875.375,4506.400
354,5055.000,4760.438,4548.173,4859.500,4501.350
355,5068.703,4783.531,4524.865,4862.781,4505.300
356,5079.595,4794.031,4557.231,4858.844,4513.350
357,5080.216,4765.906,4544.289,4854.250,4506.900
358,5064.378,4727.719,4520.673,4845.594,4538.850
359,5077.162,4765.625,4512.211,4858.938,4512.250
360,5076.567,4750.000,4524.423,4839.938,4477.550
361,5027.676,4749.656,4532.308,4827.312,4498.150
362,5062.297,4764.906,4534.519,4830.406,4493.850
363,5050.405,4773.125,4543.250,4832.344,4465.900
364,5062.054,4749.812,4531.904,4858.375,4515.650
365,5059.757,4749.688,4526.096,4849.031,4484.400
366,5063.027,4739.094,4521.519,4806.781,4468.100
367,5046.838,4743.875,4522.461,4827.938,4496.600
368,5065.162,4746.156,4511.981,4854.719,4498.050
369,5073.595,4704.000,4522.385,4859.219,4470.750
370,5039.973,4747.469,4522.211,4831.906,4478.050
371,5066.324,4738.062,4504.442,4812.719,4473.500
372,5059.567,4717.094,4514.250,4816.188,4515.550
373,5074.541,4729.188,4519.961,4848.781,4492.100
374,5069.324,4699.344,4506.173,4815.406,4530.600
375,5076.676,4715.938,4521.500,4825.156,4481.550
376,5030.757,4733.719,4516.442,4821.688,4478.850
377,5039.000,4746.875,4496.789,4830.125,4510.400
378,5028.486,4723.000,4530.250,4836.875,4486.400
379,5038.378,4723.531,4514.173,4814.406,4502.550
380,5019.433,4717.844,4500.539,4815.781,4501.950
