 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
61,4152.015,3044.917,4500.817,4631.926,4446.472,4219.714,4409.625,4348.471,4607.510,4578.386
62,4160.103,3051.208,4502.717,4634.875,4439.250,4216.509,4424.667,4337.824,4633.765,4578.114
63,4187.647,3044.208,4499.833,4629.375,4420.000,4236.009,4423.014,4353.274,4621.961,4570.818
64,4179.794,3059.135,4516.200,4634.088,4399.861,4231.393,4407.972,4370.079,4636.137,4543.136
65,4166.485,3047.740,4515.333,4636.794,4410.667,4228.375,4405.903,4346.451,4642.588,4573.750
66,4172.235,3052.948,4497.450,4626.654,4432.917,4216.000,4414.694,4357.392,4614.510,4569.523
67,4161.706,3043.646,4493.250,4642.096,4425.667,4235.152,4413.806,4352.255,4633.529,4549.182
68,4168.824,3042.490,4486.850,4644.691,4408.972,4224.134,4399.528,4348.902,4606.608,4563.659
69,4166.324,3049.406,4510.750,4642.169,4411.528,4218.598,4427.542,4372.549,4631.726,4568.250
70,4167.265,3054.385,4487.967,4631.831,4412.194,4232.071,4407.389,4360.079,4614.843,4557.841
71,4157.088,3045.052,4488.467,4639.154,4412.028,4233.616,4421.917,4350.274,4639.451,4588.977
72,4167.706,3052.833,4484.200,4640.875,4425.361,4229.446,4422.486,4343.647,4614.941,4547.091
73,4169.250,3046.823,4498.217,4652.669,4425.500,4212.919,4423.361,4364.627,4618.726,4574.364
74,4162.265,3057.885,4502.183,4646.051,4443.500,4226.518,4414.097,4355.392,4636.627,4579.977
75,4180.706,3059.812,4487.550,4639.581,4439.528,4233.643,4434.986,4327.255,4655.647,4559.636
76,4165.162,3044.500,4510.167,4642.441,4430.611,4224.071,4404.361,4346.235,4629.706,4579.182
77,4177.412,3049.031,4499.817,4624.375,4411.583,4214.571,4412.236,4352.647,4633.549,4574.068
78,4168.662,3046.656,4502.750,4638.618,4429.333,4215.473,4406.889,4355.608,4627.392,4581.545
79,4166.265,3051.406,4520.600,4644.353,4415.361,4223.964,4406.819,4347.667,4638.980,4569.727
80,4172.676,3050.135,4510.317,4639.397,4390.667,4240.259,4430.583,4344.863,4621.196,4540.318
81,4153.971,3044.865,4493.650,4640.037,4413.361,4213.929,4430.458,4350.392,4622.157,4567.295
82,4172.221,3054.021,4492.150,4620.360,4417.972,4220.777,4402.556,4373.412,4628.333,4577.477
83,4160.971,3044.479,4513.433,4633.103,4430.056,4210.250,4418.292,4347.647,4619.667,4564.841
84,4158.088,3049.438,4504.950,4644.228,4416.833,4227.223,4395.639,4355.961,4612.765,4568.114
85,4157.015,3057.792,4497.900,4646.912,4405.083,4218.831,4426.042,4342.000,4630.353,4560.182
86,4156.338,3053.354,4500.933,4632.875,4417.833,4224.054,4409.069,4353.667,4621.000,4578.864
87,4162.838,3048.885,4502.600,4634.603,4410.889,4210.911,4404.208,4354.824,4629.490,4564.432
88,4177.044,3046.729,4493.183,4638.618,4406.667,4226.527,4418.306,4339.333,4630.902,4578.182
89,4159.221,3052.146,4506.400,4628.500,4431.361,4231.857,4403.208,4340.745,4632.726,4555.932
90,4175.647,3055.167,4499.717,4646.015,4444.528,4207.839,4402.597,4345.020,4623.921,4569.432
91,4159.206,3047.385,4489.400,4635.838,4412.917,4223.973,4419.667,4351.059,4602.020,4551.955
92,4185.471,3042.000,4497.300,4641.022,4408.639,4216.768,4418.792,4344.863,4624.510,4559.795
93,4164.485,3053.677,4487.800,4638.551,4432.222,4215.938,4402.778,4352.510,4627.235,4570.682
94,4166.471,3050.448,4505.850,4623.757,4427.278,4221.956,4410.806,4360.961,4637.804,4569.727
95,4169.235,3049.698,4507.700,4642.382,4407.944,4233.036,4410.917,4356.176,4633.961,4575.273
96,4174.441,3033.229,4493.433,4634.110,4398.472,4226.946,4416.153,4355.784,4614.784,4552.455
97,4169.676,3049.479,4515.950,4656.926,4408.111,4228.134,4412.625,4380.176,4625.510,4558.295
98,4175.941,3041.865,4487.683,4640.118,4428.750,4231.125,4408.472,4357.118,4629.098,4551.977
99,4171.544,3045.469,4473.833,4635.713,4422.667,4233.375,4403.181,4366.098,4630.726,4543.023
100,4158.809,3063.604,4496.133,4632.500,4419.972,4222.607,4414.653,4355.627,4616.921,4543.932
101,4177.265,3041.354,4493.100,4629.478,4423.056,4230.839,4408.444,4353.294,4620.745,4572.977
102,4179.735,3061.854,4506.817,4641.066,4400.361,4228.964,4413.056,4338.333,4615.706,4547.159
103,4182.485,3046.031,4493.783,4646.471,4402.417,4219.446,4414.653,4371.471,4631.921,4569.250
104,4174.485,3051.031,4487.650,4644.566,4399.111,4227.929,4416.583,4342.490,4630.765,4572.841
105,4177.088,3043.833,4491.517,4642.110,4411.167,4209.598,4405.153,4353.824,4627.294,4552.432
106,4163.235,3057.438,4492.200,4624.037,4424.806,4216.321,4413.944,4351.588,4613.863,4561.364
107,4167.588,3085.906,4488.950,4636.463,4421.472,4207.223,4417.431,4347.118,4626.314,4581.659
108,4144.985,3153.177,4492.067,4629.353,4402.083,4222.223,4416.319,4341.941,4630.686,4547.864
109,4211.588,3191.833,4499.333,4646.434,4409.444,4227.991,4409.694,4361.706,4652.902,4564.864
110,4355.750,3246.958,4501.967,4638.368,4469.694,4216.661,4401.222,4353.098,4827.726,4580.386
111,4526.956,3279.302,4501.383,4646.449,4561.639,4233.366,4422.375,4394.706,5032.941,4580.000
112,4744.809,3318.198,4505.533,4647.941,4690.028,4237.384,4438.194,4406.412,5234.569,4590.750
113,4902.353,3365.906,4519.650,4637.110,4814.333,4215.277,4472.528,4427.588,5373.098,4564.841
114,5100.147,3435.490,4523.633,4642.110,4934.833,4246.411,4497.653,4449.745,5471.039,4579.909
115,5327.103,3490.208,4510.883,4648.941,5111.778,4247.152,4499.292,4468.824,5546.176,4570.705
116,5546.029,3590.281,4505.283,4646.103,5266.833,4262.054,4497.903,4487.137,5608.510,4604.727
117,5741.015,3738.875,4563.617,4673.625,5410.167,4252.366,4528.917,4479.863,5686.941,4579.273
118,5948.868,3975.958,4648.933,4662.346,5557.528,4261.607,4509.569,4516.843,5793.000,4577.159
119,6101.324,4305.333,4706.333,4662.118,5733.861,4267.419,4544.778,4541.961,5864.079,4603.000
120,6260.147,4699.656,4806.300,4672.816,5834.194,4277.919,4560.042,4553.098,5940.921,4589.341
121,6400.191,5098.604,4879.467,4673.904,5976.361,4269.196,4560.083,4569.804,5987.431,4589.977
122,6525.118,5497.969,4968.067,4698.824,6154.194,4295.616,4579.431,4588.804,6080.176,4633.500
123,6567.294,5865.229,5079.283,4829.985,6295.889,4265.821,4618.847,4604.647,6086.843,4615.705
124,6676.029,6162.938,5101.017,4886.956,6388.278,4284.821,4644.861,4609.235,6108.196,4614.455
125,6730.956,6434.240,5177.867,4892.118,6532.472,4283.232,4629.528,4603.529,6116.255,4632.773
126,6780.279,6635.625,5219.117,4975.779,6655.139,4344.357,4685.722,4646.980,6137.157,4624.682
127,6834.868,6801.104,5253.883,5133.897,6788.306,4461.812,4762.139,4691.941,6127.353,4614.818
128,6925.118,6921.875,5330.833,5166.096,6905.556,4565.536,4880.778,4794.392,6168.157,4744.273
129,6950.294,7025.260,5352.133,5190.618,7071.028,4616.446,4933.986,4870.274,6206.804,4848.750
130,6985.088,7072.750,5378.567,5303.000,7173.000,4628.206,5047.639,4940.745,6220.569,4832.432
131,7034.853,7128.521,5428.817,5421.478,7284.556,4621.348,5138.153,4974.824,6185.843,4857.205
132,7061.750,7183.479,5466.917,5452.544,7413.667,4678.777,5204.181,4981.667,6225.824,4926.091
133,7099.147,7163.500,5501.583,5488.640,7510.944,4700.027,5298.181,5084.118,6203.980,4957.614
134,7128.882,7188.312,5535.133,5574.096,7640.750,4718.321,5377.583,5179.529,6215.941,4956.273
135,7178.221,7227.615,5592.083,5557.684,7748.694,4752.384,5416.889,5176.863,6226.079,5104.091
136,7201.382,7242.771,5607.817,5595.272,7886.167,4755.294,5538.125,5245.020,6242.079,5258.318
137,7182.662,7245.812,5677.250,5671.993,7973.194,4760.509,5588.861,5311.314,6238.804,5282.455
138,7246.294,7259.281,5708.583,5665.382,8037.944,4758.598,5688.000,5350.176,6232.706,5422.750
139,7242.265,7255.094,5762.817,5695.118,8159.111,4829.429,5786.944,5453.000,6258.196,5593.295
140,7261.824,7284.844,5772.417,5745.191,8230.139,4833.009,5816.028,5487.882,6251.961,5652.614
141,7306.382,7260.896,5823.417,5762.618,8367.277,4856.723,5893.986,5536.608,6295.921,5749.614
142,7329.191,7267.927,5884.150,5816.382,8437.833,4905.098,5965.444,5600.980,6290.549,5859.227
143,7294.309,7281.875,5889.867,5835.316,8505.194,4910.393,6013.208,5673.510,6310.667,5902.795
144,7351.721,7283.333,5920.750,5843.103,8619.027,4907.321,6094.861,5753.412,6274.627,6000.909
145,7381.074,7286.406,5950.933,5925.390,8720.667,4993.250,6139.444,5770.216,6295.353,6057.432
146,7382.691,7304.510,5998.800,5920.875,8755.833,5036.714,6214.819,5822.902,6288.157,6121.409
147,7401.926,7291.000,6011.617,6010.331,8866.750,5024.911,6295.764,5885.392,6300.294,6179.636
148,7406.956,7295.323,6061.150,6033.669,8880.389,5021.429,6329.875,5879.059,6288.059,6218.295
149,7390.397,7301.135,6070.367,6031.007,8935.277,5070.446,6400.333,5972.098,6313.412,6286.614
150,7419.779,7298.906,6075.617,6074.684,8981.223,5079.616,6447.972,5968.451,6307.686,6304.091
151,7441.353,7275.500,6108.983,6072.809,9036.750,5093.411,6480.403,6041.451,6325.431,6299.386
152,7438.279,7281.917,6119.533,6174.838,9106.333,5147.893,6512.042,6108.176,6341.059,6382.909
153,7456.000,7307.292,6149.250,6182.985,9097.723,5188.107,6602.569,6127.686,6333.333,6416.864
154,7451.338,7283.260,6142.817,6182.125,9129.917,5265.536,6662.472,6198.098,6342.569,6411.682
155,7475.985,7271.365,6146.217,6257.882,9201.111,5293.366,6700.347,6232.980,6332.353,6425.818
156,7478.853,7311.188,6180.033,6258.890,9217.306,5369.304,6739.486,6263.157,6353.765,6473.364
157,7507.794,7308.031,6236.683,6276.485,9260.250,5389.794,6821.833,6292.765,6357.431,6504.409
158,7489.868,7287.521,6200.583,6340.412,9344.223,5435.196,6838.833,6360.627,6354.843,6457.864
159,7491.309,7317.354,6246.333,6341.331,9356.444,5444.732,6903.014,6386.490,6362.921,6540.023
160,7522.838,7293.271,6258.633,6379.316,9371.417,5446.956,6912.653,6415.921,6351.039,6537.841
161,7516.397,7298.708,6260.967,6425.169,9418.806,5476.589,6985.278,6404.196,6337.118,6508.682
162,7548.294,7293.031,6264.783,6394.279,9401.527,5526.419,7037.583,6422.118,6349.353,6542.068
163,7538.912,7312.438,6245.717,6460.353,9463.500,5558.321,7048.375,6464.961,6326.726,6500.727
164,7511.529,7273.240,6282.150,6467.419,9481.556,5576.419,7077.569,6489.490,6354.804,6548.795
165,7578.838,7284.698,6303.333,6505.346,9480.389,5534.973,7117.708,6497.490,6362.137,6588.114
166,7559.868,7298.969,6289.867,6537.824,9565.000,5597.411,7125.736,6563.216,6430.431,6590.682
167,7543.971,7314.896,6278.850,6548.213,9540.194,5587.393,7173.944,6587.980,6392.235,6586.159
168,7544.926,7289.104,6292.967,6580.206,9546.111,5641.375,7225.542,6597.980,6347.137,6592.318
169,7555.647,7275.542,6348.800,6569.463,9564.944,5636.669,7210.306,6612.274,6393.176,6611.273
170,7534.279,7287.198,6312.967,6592.743,9586.139,5676.848,7212.556,6624.863,6375.588,6608.818
171,7564.147,7292.177,6308.350,6620.257,9577.361,5710.723,7254.722,6646.882,6382.706,6616.955
172,7544.853,7292.740,6297.683,6627.618,9629.306,5691.152,7274.250,6640.255,6406.882,6612.636
173,7566.338,7322.698,6326.417,6653.228,9680.250,5718.964,7313.167,6685.431,6383.784,6666.727
174,7566.132,7306.635,6307.983,6665.118,9674.723,5715.794,7291.167,6674.843,6385.549,6633.591
175,7573.441,7284.177,6331.433,6628.537,9685.861,5772.991,7288.653,6714.196,6374.902,6594.205
176,7586.515,7285.344,6331.517,6667.022,9689.583,5724.081,7340.361,6736.667,6378.921,6578.273
177,7570.044,7294.896,6315.017,6668.882,9714.167,5776.027,7336.014,6766.529,6398.804,6595.364
178,7589.309,7287.115,6342.417,6679.882,9696.389,5795.161,7353.236,6777.255,6419.000,6585.341
179,7584.221,7260.521,6332.733,6720.096,9754.639,5762.259,7366.278,6799.784,6387.157,6628.750
180,7592.765,7278.094,6310.333,6703.941,9767.333,5820.821,7376.278,6774.039,6405.647,6638.409
181,7612.912,7271.292,6299.367,6690.831,9779.806,5792.688,7386.333,6775.686,6405.726,6623.068
182,7591.191,7254.948,6348.467,6745.426,9739.777,5809.714,7351.153,6790.765,6376.216,6614.023
183,7590.809,7266.354,6372.350,6710.213,9734.917,5804.169,7406.208,6809.431,6385.490,6613.932
184,7611.118,7271.000,6387.067,6743.368,9679.027,5786.169,7387.931,6801.569,6376.176,6627.023
185,7599.382,7278.396,6407.467,6757.500,9726.723,5851.598,7404.125,6874.471,6401.569,6608.341
186,7589.765,7270.469,6375.083,6735.522,9710.861,5818.571,7395.931,6879.039,6412.588,6597.000
187,7563.882,7277.010,6397.750,6760.493,9708.833,5864.286,7408.278,6876.451,6399.079,6594.841
188,7575.824,7268.792,6382.817,6773.743,9752.833,5886.821,7420.625,6896.706,6401.647,6607.023
189,7568.662,7271.302,6395.567,6750.515,9693.833,5891.206,7443.083,6887.235,6417.765,6621.705
190,7572.471,7277.031,6384.100,6774.581,9756.333,5890.634,7431.903,6927.451,6399.686,6571.159
191,7604.735,7267.250,6368.383,6750.029,9785.861,5905.919,7447.528,6916.686,6402.490,6576.955
192,7601.103,7272.438,6387.983,6739.059,9756.333,5903.598,7452.000,6942.921,6408.902,6598.227
193,7617.103,7273.438,6377.583,6766.162,9773.194,5916.634,7475.028,6931.353,6384.745,6608.000
194,7587.235,7277.375,6350.267,6773.125,9785.806,5936.581,7461.306,6945.098,6386.373,6553.864
195,7592.176,7263.708,6392.317,6753.919,9804.306,5903.509,7495.611,6926.726,6431.373,6592.136
196,7592.500,7263.688,6367.917,6775.441,9815.556,5940.902,7461.736,6946.020,6397.333,6582.955
197,7579.029,7254.031,6392.983,6777.537,9880.723,5934.911,7470.319,6923.804,6402.059,6580.750
198,7609.338,7266.354,6405.867,6732.735,9859.750,5908.304,7516.278,6959.784,6421.216,6573.023
199,7594.206,7264.698,6403.900,6791.691,9840.111,5941.714,7535.431,6947.667,6401.726,6560.614
200,7583.265,7255.562,6393.500,6795.331,9828.777,5923.571,7467.667,6948.510,6420.608,6622.091
201,7591.838,7277.312,6391.667,6763.404,9892.806,5962.491,7493.000,6949.373,6385.333,6550.682
202,7580.382,7293.531,6382.383,6792.471,9824.194,5933.929,7515.806,6959.353,6418.745,6597.773
203,7584.500,7271.688,6406.250,6789.022,9833.944,5952.732,7515.611,6963.902,6407.373,6567.045
204,7617.912,7264.135,6376.283,6749.088,9848.083,5964.607,7503.500,6979.196,6395.235,6547.955
205,7588.912,7242.865,6397.083,6705.838,9860.583,5938.848,7528.597,6989.569,6389.765,6520.568
206,7559.912,7274.052,6366.300,6740.449,9888.306,5969.143,7493.542,6993.529,6393.686,6532.250
207,7600.471,7280.729,6388.517,6744.346,9877.944,5972.081,7473.139,6963.235,6394.784,6476.477
208,7601.235,7250.042,6390.283,6708.735,9884.973,5970.134,7473.778,6989.098,6394.608,6501.159
209,7620.397,7263.438,6388.767,6732.956,9940.083,5973.518,7483.472,6961.824,6419.059,6537.068
210,7577.926,7259.688,6397.100,6729.853,9889.806,5948.866,7464.528,6952.294,6377.118,6547.182
211,7607.838,7245.396,6412.767,6710.551,9890.306,5986.473,7497.111,6948.529,6424.431,6521.364
212,7568.265,7262.125,6409.033,6662.243,9853.277,5963.491,7472.681,6982.451,6391.941,6508.545
213,7597.618,7258.396,6395.367,6678.404,9900.223,5938.456,7490.139,6967.549,6384.706,6465.250
214,7580.662,7261.594,6387.967,6698.125,9945.694,5975.491,7466.389,6989.863,6390.882,6465.341
215,7598.618,7248.083,6355.933,6678.412,9933.417,5948.991,7479.889,6975.314,6410.274,6502.523
216,7586.691,7266.354,6399.317,6646.000,9882.027,5987.661,7476.333,6984.098,6418.902,6495.659
217,7578.162,7248.604,6361.583,6687.500,9899.667,5987.384,7500.875,6995.157,6407.490,6415.136
218,7608.426,7258.427,6357.400,6682.029,9950.194,5997.919,7498.194,7032.549,6386.157,6362.750
219,7591.441,7257.031,6366.600,6662.971,9918.223,5984.812,7483.875,7006.529,6384.196,6437.477
220,7584.309,7249.656,6379.400,6611.610,9916.056,5956.000,7489.111,7009.706,6422.569,6412.955
221,7556.279,7229.604,6373.483,6632.096,9928.277,5993.036,7515.472,6984.980,6419.176,6417.205
222,7600.397,7253.104,6371.267,6648.375,9904.417,5987.268,7508.639,6996.431,6397.726,6387.318
223,7615.794,7253.438,6364.017,6631.294,9938.750,5957.777,7524.958,7026.667,6411.529,6405.659
224,7591.824,7249.719,6390.383,6592.169,9920.167,5929.911,7496.806,7030.745,6371.431,6387.682
225,7580.221,7236.615,6389.617,6620.375,9914.806,5968.848,7516.333,7052.529,6404.569,6337.136
226,7588.088,7233.458,6395.583,6636.000,9891.973,5942.054,7520.083,7045.784,6411.882,6287.477
227,7576.824,7236.958,6366.800,6628.412,9945.444,5960.348,7468.486,7005.804,6423.902,6285.068
228,7613.471,7221.729,6373.133,6578.625,9952.944,6006.669,7481.556,7027.529,6380.569,6262.045
229,7580.676,7258.698,6365.217,6531.669,9963.527,5969.179,7481.069,7009.137,6374.255,6311.023
230,7614.588,7250.604,6377.000,6492.081,9894.139,5971.196,7466.653,7038.333,6420.804,6293.614
231,7586.309,7226.896,6378.133,6558.640,9957.833,5982.071,7440.556,7040.706,6422.176,6240.705
232,7560.162,7248.625,6384.450,6569.125,9897.027,5952.331,7474.708,7014.588,6377.726,6190.295
233,7589.000,7250.365,6378.350,6542.353,9935.167,5980.473,7466.556,7023.196,6401.647,6243.068
234,7574.632,7234.042,6379.900,6496.390,9915.833,5975.518,7466.472,7031.137,6405.627,6238.182
235,7578.441,7246.896,6358.683,6485.309,9904.806,5959.723,7456.319,7003.196,6384.961,6210.000
236,7582.176,7236.438,6357.717,6564.713,9920.639,5956.027,7421.250,7036.079,6401.353,6194.318
237,7607.765,7229.104,6353.117,6560.824,9940.500,5969.206,7441.500,7005.824,6376.392,6232.932
238,7603.662,7247.646,6348.633,6507.338,9926.277,5946.696,7440.083,7033.824,6381.549,6247.841
239,7600.132,7223.490,6352.383,6470.110,9899.583,5930.438,7435.792,7001.549,6383.118,6186.477
240,7567.544,7214.677,6356.967,6504.544,9931.361,5958.143,7445.236,7042.353,6391.098,6204.682
241,7600.765,7220.552,6361.733,6538.838,9933.027,5935.321,7421.806,7053.431,6372.529,6113.909
242,7578.735,7239.865,6377.717,6516.838,9896.917,5916.071,7438.847,7028.353,6392.255,6071.568
243,7580.176,7233.375,6349.550,6501.368,9945.611,5934.196,7423.236,7038.020,6369.784,6025.750
244,7588.574,7234.469,6347.817,6510.721,9937.389,5930.509,7408.306,7013.490,6366.079,5986.341
