 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6
1,3148.381,4028.559,4141.387,2893.917,3158.382,4414.781
2,3146.095,4005.147,4159.645,2885.139,3154.735,4446.219
3,3161.000,4017.441,4168.032,2893.444,3149.588,4434.312
4,3142.690,4006.882,4186.516,2883.333,3162.912,4447.719
5,3145.738,4010.441,4170.871,2871.083,3141.029,4433.688
6,3146.690,4007.118,4187.645,2874.056,3151.000,4435.875
7,3132.524,4028.353,4179.613,2888.583,3162.588,4411.438
8,3154.857,4010.618,4185.709,2873.472,3164.441,4423.906
9,3158.928,4003.206,4164.064,2878.056,3138.000,4428.250
10,3152.452,4023.677,4168.839,2882.750,3164.382,4438.812
11,3155.428,4013.412,4163.871,2880.389,3153.765,4417.625
12,3122.857,4006.529,4173.807,2873.611,3168.706,4426.719
13,3140.952,4009.059,4170.968,2892.222,3166.353,4449.219
14,3146.643,4010.412,4185.645,2867.583,3168.323,4441.594
15,3129.095,4006.235,4180.709,2855.528,3148.618,4429.031
16,3145.310,4011.029,4193.291,2864.611,3164.235,4442.219
17,3156.286,3991.382,4178.516,2873.472,3161.971,4431.125
18,3157.595,3993.853,4188.419,2868.361,3156.000,4432.562
19,3146.595,3994.294,4182.193,2877.861,3158.353,4434.688
20,3167.048,4008.441,4175.355,2891.556,3145.029,4440.000
21,3148.476,4013.147,4214.903,2877.778,3143.059,4432.969
22,3151.833,3997.706,4162.193,2885.167,3144.088,4468.938
23,3146.857,4013.677,4163.291,2882.417,3161.118,4414.469
24,3139.048,3994.618,4186.709,2883.556,3164.147,4442.969
25,3153.548,4001.647,4173.097,2884.806,3140.177,4423.531
26,3146.619,3994.500,4167.387,2870.472,3159.235,4423.219
27,3144.167,4019.235,4179.807,2886.000,3168.853,4462.625
28,3160.428,4032.618,4200.548,2861.500,3153.882,4458.031
29,3160.881,3998.941,4189.903,2867.528,3148.441,4427.875
30,3134.405,4020.794,4168.258,2874.722,3142.088,4418.594
31,3147.476,4023.853,4166.323,2867.028,3168.029,4449.531
32,3142.905,4003.147,4192.452,2886.694,3169.206,4450.312
33,3119.238,4016.647,4200.452,2900.611,3143.088,4430.188
34,3116.524,3983.706,4158.032,2873.917,3140.647,4434.031
35,3129.381,4014.500,4193.516,2895.556,3136.471,4449.281
36,3130.500,4011.677,4163.677,2861.583,3123.412,4425.719
37,3153.167,3990.823,4157.226,2883.472,3149.088,4438.125
38,3129.928,3994.118,4171.742,2874.417,3136.823,4437.531
39,3170.714,3986.441,4166.226,2883.000,3138.941,4443.000
40,3144.357,3997.323,4176.871,2871.306,3149.118,4404.031
41,3155.952,4030.912,4184.419,2874.361,3153.441,4425.875
42,3156.572,4035.765,4163.064,2876.472,3147.941,4432.469
43,3132.428,4024.000,4164.871,2876.722,3150.088,4435.781
44,3152.524,4007.294,4186.742,2889.028,3139.500,4420.562
45,3169.714,4014.794,4169.774,2860.083,3158.971,4429.000
46,3129.786,4022.323,4176.871,2864.250,3132.559,4459.250
47,3140.024,4013.794,4156.645,2878.194,3148.677,4445.188
48,3121.310,4013.206,4177.355,2865.056,3146.029,4439.469
49,3141.714,4011.412,4177.613,2873.306,3135.088,4445.125
50,3156.286,3989.382,4176.161,2869.056,3167.971,4424.750
51,3137.214,4000.265,4174.742,2859.083,3152.323,4451.344
52,3145.167,3999.618,4172.936,2873.667,3143.529,4456.531
53,3159.167,3991.177,4179.452,2866.028,3146.765,4409.406
54,3148.428,4027.177,4167.677,2852.000,3141.853,4413.781
55,3146.643,3993.471,4156.548,2869.972,3146.000,4417.750
56,3140.428,3993.323,4172.355,2866.750,3145.765,4434.625
57,3153.857,3992.529,4183.581,2887.444,3140.647,4422.750
58,3145.952,4008.441,4176.291,2887.500,3147.235,4408.125
59,3141.476,3982.882,4184.548,2884.500,3165.735,4460.594
60,3165.000,4014.735,4181.807,2866.639,3154.353,4445.812
61,3152.619,4018.353,4175.291,2873.556,3142.118,4441.719
62,3144.357,3999.235,4173.613,2857.528,3147.323,4460.906
63,3142.310,4029.735,4191.226,2875.778,3148.000,4426.656
64,3129.690,4008.118,4172.903,2870.250,3147.235,4413.500
65,3135.905,4010.706,4189.097,2865.833,3140.794,4424.656
66,3154.643,4012.235,4158.419,2864.278,3163.765,4446.531
67,3146.786,4032.588,4185.516,2883.889,3155.147,4436.719
68,3168.690,4011.029,4174.129,2876.167,3145.353,4407.719
69,3140.405,4055.059,4161.323,2879.583,3156.559,4432.562
70,3152.572,4022.177,4183.516,2865.444,3147.677,4438.688
71,3139.428,4000.000,4184.968,2875.722,3131.529,4417.312
72,3150.952,4010.000,4180.613,2858.500,3161.618,4430.188
73,3153.262,4011.059,4175.709,2862.333,3161.882,4411.156
74,3133.762,4009.882,4181.613,2859.500,3164.529,4435.156
75,3146.952,4020.088,4180.064,2871.222,3145.118,4440.938
76,3145.833,4020.323,4182.000,2865.389,3161.912,4428.156
77,3169.238,4002.471,4194.774,2886.556,3160.647,4424.844
78,3150.857,4005.735,4178.452,2864.333,3136.765,4413.438
79,3159.405,3995.500,4180.613,2871.639,3144.147,4442.656
80,3150.976,4014.118,4174.742,2861.500,3144.323,4434.844
81,3155.762,4006.029,4142.968,2877.750,3132.618,4468.250
82,3166.428,4015.177,4187.903,2867.833,3151.618,4420.719
83,3145.857,4006.412,4199.871,2841.361,3153.882,4431.656
84,3140.952,4026.235,4198.774,2870.000,3159.500,4422.406
85,3147.714,3989.529,4179.387,2854.556,3141.412,4441.312
86,3148.524,4012.000,4186.516,2866.028,3151.500,4427.312
87,3156.690,4009.412,4181.355,2879.750,3152.265,4417.750
88,3147.572,4018.765,4152.291,2838.583,3129.412,4433.938
89,3167.024,4005.471,4184.742,2868.611,3158.500,4431.031
90,3155.548,4004.412,4186.161,2866.611,3151.735,4448.469
91,3142.072,4012.588,4175.226,2856.806,3129.382,4448.875
92,3152.238,4022.706,4173.387,2862.833,3137.647,4453.844
93,3148.595,4036.206,4180.355,2866.417,3155.265,4447.062
94,3146.690,4002.353,4185.355,2853.417,3160.941,4419.688
95,3155.738,4018.559,4177.709,2865.694,3152.618,4449.812
96,3144.333,4025.588,4178.226,2859.722,3146.235,4434.188
97,3145.357,4014.235,4189.903,2846.083,3156.118,4438.938
98,3133.595,4010.412,4177.871,2847.194,3137.500,4463.094
99,3129.952,4036.853,4161.032,2858.889,3156.471,4398.625
100,3140.167,4021.294,4180.323,2845.583,3150.323,4403.719
101,3134.786,4011.265,4145.581,2856.917,3162.294,4429.250
102,3150.262,4013.471,4176.677,2854.000,3153.559,4428.844
103,3155.500,4003.677,4169.548,2859.611,3144.382,4421.531
104,3162.095,3997.765,4188.613,2853.833,3159.353,4455.375
105,3148.833,4006.971,4179.291,2863.528,3152.118,4442.438
106,3168.262,4013.735,4171.387,2857.083,3149.618,4447.094
107,3136.238,4028.323,4175.936,2858.056,3133.706,4435.344
108,3131.928,4002.500,4201.516,2853.472,3155.147,4438.125
109,3146.381,4020.882,4188.226,2869.583,3127.412,4436.688
110,3200.952,4058.177,4156.064,2865.750,3167.088,4448.750
111,3353.262,4158.118,4184.419,2953.111,3232.088,4452.531
112,3478.476,4314.735,4204.323,3119.361,3350.029,4489.281
