 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
51,4206.917,3944.192,3017.318,3082.833,3905.529,2876.500,4676.833,4362.217,4615.058,3984.381,4143.000,4433.333
52,4221.750,3933.231,3052.455,3089.667,3896.147,2892.875,4817.500,4351.583,4610.615,3956.714,4131.000,4417.333
53,4209.917,3929.269,3028.523,3146.833,3900.618,2877.875,4678.500,4363.467,4619.981,3953.619,4095.818,4443.333
54,4198.694,3948.423,3028.773,3092.000,3903.118,2861.125,4743.333,4351.283,4617.058,3986.857,4102.909,4450.917
55,4227.417,3938.500,3043.750,3146.750,3897.471,2854.125,4774.167,4367.033,4592.827,3982.190,4130.364,4432.750
56,4199.056,3953.692,3041.955,3112.417,3893.177,2890.625,4739.000,4358.400,4610.961,3992.905,4121.636,4433.250
57,4215.389,3957.615,3033.955,3119.917,3881.735,2881.000,4702.667,4370.150,4609.539,3978.381,4127.000,4459.083
58,4199.972,3934.308,3049.886,3103.083,3888.529,2859.750,4751.333,4358.933,4609.961,3972.905,4133.818,4377.250
59,4225.417,3936.846,3040.136,3093.583,3932.500,2861.000,4771.167,4371.500,4601.711,3954.905,4127.000,4436.083
60,4214.417,3940.961,3046.068,3109.583,3909.823,2904.250,4750.000,4365.483,4592.154,3955.000,4144.000,4468.917
61,4232.583,3942.000,3046.932,3131.750,3906.559,2855.000,4735.833,4365.000,4601.173,3952.572,4141.818,4428.250
62,4226.639,3926.500,3042.727,3074.750,3899.000,2903.750,4740.500,4356.300,4618.519,4012.810,4124.091,4477.417
63,4244.750,3951.308,3045.273,3086.667,3897.118,2853.875,4702.333,4360.600,4602.192,3984.428,4149.182,4439.167
64,4206.806,3930.231,3038.795,3132.000,3909.882,2864.750,4724.500,4368.600,4593.250,3983.572,4097.000,4442.333
65,4234.694,3948.461,3045.364,3110.750,3923.941,2903.625,4847.500,4374.283,4628.308,3987.667,4153.182,4459.000
66,4223.194,3939.346,3054.091,3084.333,3883.823,2902.375,4792.000,4383.033,4614.231,3984.667,4171.364,4455.250
67,4220.111,3912.923,3039.114,3135.417,3893.000,2911.125,4755.667,4382.317,4611.461,3987.143,4160.909,4453.417
68,4220.056,3920.961,3044.750,3129.500,3936.588,2892.250,4758.000,4370.067,4599.231,3977.000,4101.364,4436.667
69,4218.750,3933.615,3029.386,3121.250,3907.647,2851.625,4771.500,4377.017,4603.654,3937.714,4110.636,4466.500
70,4208.361,3966.769,3039.182,3094.083,3902.000,2920.375,4765.333,4359.233,4592.461,3975.952,4150.909,4438.750
71,4225.139,3941.500,3033.045,3099.083,3890.706,2869.000,4678.167,4356.950,4606.865,3973.572,4167.727,4478.333
72,4216.167,3957.846,3047.523,3107.667,3915.265,2897.625,4733.667,4366.067,4606.635,3983.048,4093.545,4387.000
73,4186.472,3947.654,3023.136,3098.167,3902.912,2899.875,4748.333,4372.600,4634.865,3992.857,4131.909,4474.917
74,4228.556,3935.577,3046.000,3127.167,3894.323,2870.875,4757.833,4368.000,4610.961,3966.048,4163.455,4475.083
75,4228.361,3969.885,3045.682,3098.417,3895.294,2891.750,4735.167,4370.983,4588.058,3994.619,4112.091,4453.083
