 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
61,4146.406,4360.731,4315.417,4342.115,3515.825,4748.167,4405.324,4086.643,3793.062,5104.528
62,4146.328,4347.327,4289.472,4343.192,3510.350,4733.028,4406.206,4112.929,3796.812,5092.056
63,4141.891,4347.289,4293.556,4331.808,3494.975,4704.167,4400.971,4061.536,3763.094,5100.333
64,4156.281,4353.115,4306.944,4289.385,3476.488,4716.250,4344.471,4069.643,3756.281,5063.500
65,4143.328,4337.385,4276.111,4318.885,3478.800,4718.333,4378.412,4073.643,3770.688,5103.472
66,4149.891,4344.211,4301.917,4309.577,3491.663,4697.472,4379.176,4081.678,3748.188,5093.583
67,4148.359,4319.404,4289.611,4306.000,3476.238,4695.722,4380.324,4071.178,3728.688,5077.639
68,4146.469,4320.231,4272.444,4325.192,3452.300,4739.500,4376.559,4065.643,3698.406,5029.167
69,4160.453,4353.096,4275.778,4312.577,3476.875,4695.417,4371.853,4063.357,3734.844,5030.194
70,4147.719,4347.904,4274.306,4292.346,3472.688,4712.556,4366.647,4065.714,3706.281,5050.917
71,4140.953,4326.135,4288.889,4272.308,3457.062,4688.111,4346.971,4012.286,3707.344,5028.528
72,4141.125,4323.211,4289.611,4316.961,3436.913,4707.722,4360.059,4073.143,3670.938,5028.278
73,4149.375,4312.250,4271.917,4271.846,3430.212,4679.222,4361.676,4053.322,3688.844,5030.167
74,4153.344,4319.942,4270.444,4276.231,3424.938,4709.056,4342.412,4060.714,3693.031,5018.944
75,4155.844,4331.500,4293.306,4298.154,3406.938,4701.139,4338.529,4023.714,3674.438,5044.778
76,4144.203,4300.789,4272.472,4319.577,3406.738,4681.167,4356.000,4018.000,3680.719,5012.472
77,4152.172,4323.558,4273.694,4293.231,3413.000,4704.083,4335.853,4026.143,3671.781,5011.944
78,4142.016,4311.961,4294.056,4295.231,3385.337,4688.444,4354.324,4032.178,3664.375,5009.167
79,4162.375,4311.154,4291.222,4297.461,3400.725,4701.833,4349.794,4027.572,3648.094,5007.222
80,4152.188,4317.654,4261.167,4300.039,3398.500,4677.139,4344.853,4037.428,3665.438,4963.194
81,4168.078,4299.231,4307.500,4307.308,3382.250,4702.389,4339.000,4028.428,3666.094,4973.694
82,4148.562,4291.827,4284.472,4298.885,3398.575,4707.194,4351.412,4028.750,3615.250,4985.028
83,4147.328,4305.058,4269.528,4267.461,3382.525,4654.528,4351.206,4034.714,3625.625,4965.917
