 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
61,3782.059,3081.808,3441.676,3118.333,3105.727,3917.839,4254.857,4035.375,3976.471,4038.619
62,3791.576,3067.692,3433.649,3128.236,3096.227,3904.387,4270.464,4006.021,3983.216,4026.643
63,3793.419,3098.769,3454.054,3122.750,3115.409,3934.032,4271.179,4015.000,3988.902,4036.786
64,3784.339,3080.423,3454.216,3121.375,3104.773,3931.710,4271.357,4014.958,3963.490,4021.667
65,3787.585,3084.423,3452.432,3138.153,3105.341,3933.323,4246.571,3999.021,3987.020,4010.476
66,3780.284,3103.039,3446.189,3121.931,3130.795,3938.387,4253.571,3994.521,3973.784,4032.928
67,3792.123,3075.500,3467.108,3130.847,3102.591,3957.419,4278.071,4004.167,3972.274,4019.857
68,3787.000,3088.961,3440.946,3119.097,3114.364,3933.290,4253.536,4003.750,3973.490,4020.357
69,3785.250,3091.039,3453.000,3128.931,3097.182,3918.742,4264.214,4013.312,3991.118,4050.238
70,3791.687,3096.077,3420.189,3108.319,3099.205,3939.097,4260.214,3984.917,3969.588,4007.595
71,3786.013,3083.269,3444.108,3125.625,3107.386,3943.097,4265.250,4013.833,3982.471,4031.762
72,3782.453,3081.885,3448.081,3111.792,3101.750,3945.903,4273.357,4000.833,3995.137,4028.167
73,3788.682,3067.269,3444.811,3109.167,3117.955,3926.452,4276.536,3998.771,3979.353,4052.095
74,3785.534,3098.961,3447.189,3130.694,3113.636,3937.871,4252.607,3993.542,3978.020,4016.072
75,3796.741,3107.615,3450.459,3118.264,3101.409,3973.742,4275.464,4020.229,3974.177,4045.333
76,3799.521,3080.500,3445.406,3123.139,3099.614,3940.161,4264.071,3997.021,3957.235,4039.738
77,3792.148,3105.577,3445.162,3122.181,3090.568,3942.903,4262.714,3999.708,4002.686,4014.405
78,3789.479,3104.154,3446.703,3123.333,3104.795,3913.613,4245.679,4010.417,3983.216,4027.190
79,3790.602,3089.231,3437.594,3118.500,3118.591,3941.516,4290.000,4023.167,3971.549,4036.428
80,3800.195,3118.269,3445.730,3119.681,3101.023,3921.742,4264.000,3990.188,3982.059,4017.333
81,3792.615,3110.654,3445.784,3138.903,3124.500,3925.516,4252.250,3995.979,3969.490,4037.072
82,3790.500,3080.539,3437.000,3117.389,3099.568,3938.871,4286.286,3995.333,3991.471,4059.905
83,3796.347,3107.461,3462.892,3123.014,3113.159,3936.290,4254.714,4003.417,3970.020,4039.667
84,3795.102,3098.769,3444.459,3120.944,3086.773,3933.032,4257.321,4019.854,3984.177,4022.024
85,3796.055,3084.539,3447.162,3120.097,3092.159,3917.613,4256.250,3991.542,3974.922,4050.524
86,3783.381,3070.961,3450.297,3115.889,3122.727,3946.613,4280.393,4009.896,3973.627,4028.310
87,3785.093,3089.154,3451.784,3116.764,3095.068,3954.871,4268.071,4011.396,3972.647,4031.810
88,3791.458,3098.808,3451.838,3138.986,3101.750,3931.581,4233.893,3998.188,3991.726,4048.190
89,3785.907,3091.615,3459.865,3116.931,3113.591,3920.677,4258.464,4016.542,3996.157,4020.357
90,3782.115,3101.154,3415.513,3111.778,3115.841,3937.871,4240.500,3993.646,3967.647,4024.595
91,3795.835,3069.769,3423.487,3109.667,3109.750,3944.387,4282.143,4012.917,3972.314,4053.881
92,3788.365,3099.923,3459.757,3117.292,3093.000,3933.806,4280.143,4009.208,3975.157,4047.286
93,3783.449,3084.077,3441.865,3120.528,3111.750,3953.903,4271.536,3997.188,3988.627,4042.524
