 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6
99,4362.550,4046.941,4185.646,3443.859,3746.675,3018.088
100,4363.567,4050.882,4172.219,3446.005,3753.587,3014.027
101,4348.567,4049.544,4184.948,3449.177,3755.788,3014.311
102,4361.817,4068.471,4186.344,3446.953,3738.475,3015.196
103,4322.883,4046.118,4177.698,3451.260,3762.875,3011.446
104,4343.700,4039.441,4174.917,3443.182,3752.125,3011.182
105,4345.617,4047.177,4184.021,3436.083,3745.225,3010.993
106,4350.083,4040.368,4179.365,3448.135,3746.262,3004.635
107,4347.633,4053.779,4173.047,3450.073,3751.300,3010.344
108,4367.267,4055.177,4182.651,3431.349,3783.800,3025.108
109,4419.250,4084.323,4212.943,3471.646,3821.762,3093.291
110,4482.117,4104.897,4262.719,3499.557,3901.200,3132.588
111,4533.067,4169.265,4370.255,3532.927,4010.212,3173.851
112,4580.600,4255.074,4509.859,3568.792,4115.212,3251.649
113,4622.617,4303.132,4670.427,3609.927,4207.487,3328.594
114,4632.033,4373.588,4803.766,3663.120,4327.900,3455.709
115,4674.400,4411.750,4918.417,3735.021,4461.562,3607.980
116,4695.467,4454.309,5023.234,3800.703,4590.987,3781.513
117,4732.700,4525.765,5110.516,3882.026,4707.337,3963.743
118,4801.883,4574.397,5186.859,3965.312,4804.712,4196.541
119,4826.167,4618.868,5289.755,4054.109,4952.737,4419.162
120,4873.417,4661.500,5426.547,4156.818,5063.712,4651.554
121,4916.550,4710.500,5565.323,4263.662,5175.288,4901.723
122,4964.417,4748.294,5691.323,4355.963,5242.087,5099.885
123,5010.500,4780.529,5848.677,4476.635,5316.725,5287.412
124,5087.983,4821.721,5991.745,4615.094,5410.850,5465.514
125,5159.500,4840.206,6140.833,4742.490,5437.288,5594.777
126,5234.467,4855.059,6292.167,4887.912,5489.513,5758.939
127,5272.167,4876.647,6406.719,5021.359,5499.587,5871.433
128,5325.717,4908.265,6517.412,5203.526,5533.075,5967.358
129,5411.200,4910.647,6624.787,5385.401,5553.138,6103.311
130,5472.400,4913.897,6699.948,5580.453,5579.938,6204.622
131,5553.817,4939.162,6778.167,5782.370,5609.600,6287.973
132,5630.433,4945.250,6834.984,5986.224,5588.763,6332.102
133,5693.883,4925.353,6882.177,6216.234,5623.700,6416.534
134,5753.917,4935.250,6918.844,6429.547,5613.825,6454.567
135,5845.950,4956.985,6940.635,6683.401,5657.562,6573.845
136,5903.733,4960.603,6994.052,6928.396,5666.525,6623.865
137,5972.600,4980.574,7015.776,7115.448,5663.788,6639.067
138,6042.200,4952.603,7039.078,7309.359,5655.337,6687.547
139,6104.417,4993.603,7064.365,7520.068,5687.388,6733.426
140,6155.917,4977.162,7059.427,7671.792,5669.625,6760.385
141,6200.183,4975.162,7070.552,7835.656,5691.837,6798.271
142,6260.017,4984.044,7085.266,7990.630,5707.038,6835.514
143,6308.600,5003.706,7080.302,8120.292,5690.538,6831.527
144,6352.300,4993.426,7107.729,8219.656,5714.987,6868.385
145,6402.150,5000.074,7104.713,8351.896,5712.875,6888.588
146,6424.100,4987.926,7109.354,8427.401,5699.100,6926.655
147,6469.533,5027.015,7139.432,8469.802,5710.462,6893.277
148,6489.800,5010.015,7151.422,8543.880,5729.212,6933.628
149,6533.983,4987.279,7126.443,8558.505,5714.450,6915.372
150,6560.667,5007.456,7143.396,8585.333,5679.250,6892.898
151,6595.833,4990.500,7148.427,8641.312,5706.362,6933.933
152,6612.733,5015.338,7159.312,8674.969,5743.812,6983.271
153,6636.883,5009.235,7161.578,8665.031,5706.862,6923.229
154,6678.200,5015.662,7159.917,8670.875,5698.562,6937.466
155,6671.967,5017.074,7168.432,8697.651,5699.325,6959.466
156,6693.450,5005.956,7156.859,8724.458,5709.225,6945.297
157,6730.333,5027.941,7171.391,8713.469,5720.513,6950.743
158,6725.333,5021.809,7174.719,8743.141,5714.925,6959.419
159,6751.733,5006.059,7170.240,8703.281,5686.763,6940.041
160,6768.167,5012.147,7184.812,8770.521,5709.200,6965.777
161,6795.733,5024.721,7180.312,8789.208,5697.425,6986.277
162,6789.550,5029.029,7180.505,8800.427,5698.513,6987.412
163,6807.933,5030.191,7182.823,8778.833,5688.312,7000.493
164,6788.033,5023.221,7195.203,8763.250,5700.962,6976.007
165,6816.017,5026.397,7188.682,8780.192,5706.175,6986.541
166,6819.767,5026.221,7175.995,8818.386,5727.562,7009.271
167,6838.050,5027.794,7199.776,8829.177,5711.675,7024.736
168,6823.267,5026.441,7196.651,8839.641,5719.800,6985.041
169,6842.700,5019.162,7183.380,8809.177,5705.025,6998.561
170,6832.517,5015.015,7203.328,8837.308,5700.038,7012.189
171,6841.550,5023.779,7177.167,8829.625,5722.138,7035.304
172,6850.767,5037.971,7202.979,8843.984,5712.950,7010.067
173,6856.267,5023.912,7188.458,8859.177,5740.325,7037.595
174,6863.700,5003.265,7199.578,8828.656,5705.938,6995.345
175,6859.433,5025.235,7191.974,8842.026,5701.087,7012.892
176,6856.517,5010.162,7188.281,8875.386,5697.663,7031.676
177,6871.633,5016.044,7196.568,8912.933,5749.700,7036.926
178,6872.883,5033.515,7210.703,8892.036,5696.188,7042.317
179,6835.517,5010.750,7193.266,8861.271,5690.350,7027.264
180,6875.400,5015.074,7192.526,8887.672,5702.138,7025.034
181,6874.250,5025.662,7188.354,8893.167,5731.050,6987.736
182,6855.183,5041.279,7210.281,8921.354,5740.212,7003.372
183,6831.483,5044.912,7191.495,8949.219,5740.725,6989.507
184,6801.900,5011.103,7181.172,8905.474,5721.913,6985.412
185,6821.700,5040.000,7174.203,8932.183,5728.212,6968.588
186,6810.417,5016.368,7185.885,8901.078,5732.900,6964.169
187,6847.700,5024.118,7185.047,8951.859,5717.362,6973.716
188,6852.867,5023.000,7197.193,8940.297,5730.038,7002.771
189,6846.350,5044.044,7184.172,8941.599,5728.862,6986.865
190,6837.867,5024.441,7189.135,8903.453,5719.275,6975.588
191,6845.217,5038.485,7179.052,8904.427,5700.862,6966.831
192,6827.833,5006.794,7190.620,8923.302,5723.362,6955.209
193,6853.200,5004.265,7179.531,8938.422,5719.950,6983.905
194,6835.633,5026.515,7172.969,8915.234,5715.150,6973.716
195,6827.483,4997.574,7171.083,8904.823,5701.450,6954.189
196,6837.433,5009.015,7196.625,8901.203,5692.950,6970.148
197,6850.467,5010.485,7190.219,8882.703,5728.138,6961.953
198,6837.967,5025.382,7196.458,8934.292,5722.375,6974.703
199,6845.767,5022.912,7171.417,8901.729,5717.087,6966.493
200,6813.750,5002.235,7191.104,8901.646,5698.975,6961.271
201,6847.167,5025.456,7164.719,8880.567,5723.875,6961.223
202,6854.717,5005.809,7185.203,8896.323,5723.112,6941.817
203,6858.900,5012.676,7189.594,8919.911,5707.925,6981.176
204,6841.550,5011.044,7173.458,8896.203,5710.112,6978.203
205,6865.717,5006.647,7187.328,8881.047,5702.462,6968.067
206,6864.733,5028.824,7169.667,8881.656,5698.725,6971.264
207,6831.367,5010.559,7184.323,8905.698,5711.450,6983.372
208,6839.283,5020.529,7175.354,8898.214,5701.400,6988.433
209,6838.067,5019.603,7172.938,8875.505,5712.038,6975.000
210,6871.717,5020.471,7170.766,8902.317,5707.800,6992.514
211,6830.517,5019.162,7161.537,8870.817,5695.650,6967.088
212,6839.767,5002.118,7173.646,8894.125,5727.188,7002.791
213,6855.600,5019.015,7178.995,8897.281,5710.888,6982.459
214,6835.250,5012.574,7156.188,8871.703,5706.425,6961.852
215,6844.667,5018.221,7167.838,8879.781,5692.612,6955.966
216,6830.800,4989.559,7160.401,8891.391,5702.925,6957.831
217,6866.100,5022.353,7171.333,8881.339,5704.038,6939.041
218,6814.450,5036.176,7174.927,8886.479,5689.550,6965.696
219,6838.200,5022.118,7165.750,8882.719,5709.525,6964.000
220,6838.800,5003.794,7154.771,8874.880,5711.225,6947.054
221,6839.933,4996.632,7163.682,8901.808,5709.200,6995.521
222,6836.950,4990.647,7157.412,8896.849,5689.175,6962.162
223,6819.350,5006.294,7151.818,8854.692,5683.688,6966.554
224,6842.733,4996.706,7159.760,8881.802,5695.275,6954.804
225,6821.517,5004.412,7157.818,8886.442,5697.475,6952.683
226,6833.833,4997.176,7170.062,8862.911,5690.675,6956.966
227,6832.250,4989.441,7158.047,8870.625,5696.900,6935.209
228,6827.150,5018.118,7167.057,8850.442,5692.812,6948.378
229,6843.833,5006.441,7160.708,8877.844,5691.188,6928.885
230,6802.467,4998.971,7149.302,8850.442,5670.900,6953.277
231,6845.183,5003.353,7159.854,8865.245,5685.862,6941.183
232,6842.117,4994.015,7149.578,8879.808,5680.712,6912.648
233,6807.783,5020.235,7147.323,8837.469,5675.663,6927.041
234,6817.667,5021.015,7151.516,8859.479,5674.925,6909.541
235,6825.650,5009.456,7141.333,8881.333,5672.788,6934.933
236,6801.250,4994.897,7132.948,8830.099,5676.062,6901.919
237,6816.383,4986.441,7141.979,8857.104,5678.100,6891.257
238,6833.800,4998.368,7140.588,8849.521,5687.337,6933.398
239,6802.667,5008.985,7153.385,8850.594,5668.950,6915.804
240,6835.533,4984.868,7143.562,8842.109,5677.850,6919.169
241,6807.150,4985.618,7130.474,8855.942,5662.212,6924.183
242,6788.183,5014.853,7125.229,8840.401,5678.075,6913.635
243,6788.617,5000.044,7144.729,8840.542,5686.150,6920.284
244,6792.000,5024.309,7131.630,8850.234,5689.150,6939.142
245,6812.417,4992.397,7134.995,8856.594,5696.000,6940.973
246,6814.150,4982.912,7137.995,8820.552,5667.138,6910.507
247,6811.517,4990.191,7116.646,8817.734,5666.888,6910.865
248,6802.483,4989.838,7127.625,8848.058,5684.062,6955.933
249,6792.117,5012.294,7128.568,8795.156,5653.487,6921.203
250,6785.467,4994.897,7119.047,8829.552,5662.413,6924.176
251,6814.850,4990.868,7118.068,8809.724,5661.138,6921.128
252,6804.983,5000.088,7129.469,8823.692,5673.350,6922.439
253,6814.583,4986.250,7126.281,8827.328,5655.750,6905.189
254,6804.400,4996.529,7108.484,8815.067,5655.538,6918.486
255,6801.633,4978.706,7125.948,8811.812,5654.400,6910.521
256,6787.867,4985.000,7112.068,8792.984,5658.962,6891.155
257,6769.500,4974.412,7114.927,8816.438,5661.650,6888.973
258,6793.233,4989.691,7111.505,8826.739,5663.212,6894.588
259,6776.833,4962.868,7117.193,8797.109,5650.812,6885.885
260,6745.517,5009.235,7097.552,8794.552,5659.612,6882.135
261,6784.417,4994.471,7107.745,8805.380,5653.038,6886.466
262,6768.900,4973.882,7093.177,8793.667,5639.825,6912.683
263,6760.317,4986.382,7098.641,8774.589,5661.987,6887.797
264,6785.417,4993.294,7101.031,8791.917,5644.962,6872.311
265,6776.783,4984.897,7093.755,8760.344,5636.525,6886.595
266,6776.517,4997.471,7099.104,8771.906,5655.975,6879.291
267,6767.133,4987.441,7095.417,8764.750,5646.425,6889.791
268,6748.200,4963.721,7091.255,8792.011,5682.462,6913.338
269,6793.650,4994.735,7085.948,8752.552,5650.638,6862.973
270,6731.883,4977.000,7086.490,8746.183,5622.163,6853.838
271,6734.933,4974.559,7098.812,8777.458,5660.300,6872.811
272,6754.200,4989.279,7080.531,8771.464,5648.075,6876.183
273,6712.733,4971.426,7078.901,8792.245,5638.487,6874.547
274,6750.817,4984.368,7079.844,8766.573,5619.038,6878.102
275,6749.150,4970.618,7070.245,8756.781,5622.225,6872.953
276,6731.417,4972.426,7070.245,8751.500,5659.500,6850.926
277,6743.817,4980.971,7075.552,8751.969,5637.237,6898.466
278,6736.500,4982.338,7074.979,8744.808,5638.562,6872.148
279,6749.733,4973.456,7080.432,8765.266,5635.475,6860.729
280,6751.000,4949.191,7055.292,8710.453,5629.587,6840.662
