 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13
47,2773.137,3133.174,3379.450,4093.823,3631.885,3971.271,4071.774,4330.034,4026.800,4006.740,4138.180,4532.500,4380.507
48,2779.766,3138.188,3372.000,4125.196,3646.779,3952.214,4073.190,4312.082,4003.012,3976.396,4121.426,4537.875,4372.580
49,2782.153,3137.739,3382.567,4090.627,3627.586,3959.329,4056.786,4317.973,4011.887,3995.427,4118.017,4520.473,4360.072
50,2772.750,3119.348,3380.200,4112.627,3636.721,3962.543,4060.452,4319.192,4024.762,3996.667,4134.147,4532.598,4367.261
51,2776.258,3176.348,3378.733,4099.902,3639.548,3961.029,4091.774,4316.596,4014.288,3986.802,4129.377,4515.956,4363.391
52,2768.823,3188.130,3384.417,4103.667,3636.115,3972.743,4087.428,4305.966,4015.788,3984.115,4135.197,4521.062,4342.435
53,2778.677,3203.710,3387.967,4129.784,3641.942,3968.100,4075.464,4325.055,4026.050,3976.375,4121.180,4527.384,4371.029
54,2776.073,3218.551,3395.183,4103.843,3635.375,3974.671,4087.048,4305.781,4013.188,3988.260,4131.131,4544.107,4365.304
55,2780.113,3215.203,3383.367,4111.686,3627.289,3962.771,4091.131,4304.370,4015.400,3964.062,4116.869,4526.857,4345.638
56,2778.726,3211.290,3373.783,4141.745,3639.904,3972.357,4078.369,4332.034,4026.413,3982.562,4117.787,4534.804,4340.797
57,2778.855,3214.507,3394.867,4102.059,3635.961,3948.414,4085.369,4322.575,4022.262,3981.479,4114.918,4551.223,4358.652
58,2779.540,3206.102,3369.317,4117.627,3633.067,3974.329,4081.845,4322.411,4032.975,3982.427,4117.492,4544.732,4347.507
59,2787.056,3209.507,3388.067,4098.392,3638.558,3976.371,4086.107,4308.822,4012.087,3989.062,4124.918,4543.429,4340.594
60,2778.540,3203.130,3395.900,4114.549,3624.192,3958.072,4093.631,4335.719,4022.850,3974.469,4132.639,4551.679,4337.753
61,2782.976,3185.942,3374.583,4105.020,3646.154,3953.286,4064.238,4336.527,4033.712,3988.917,4118.459,4534.750,4360.942
62,2766.177,3191.102,3385.900,4110.137,3639.481,3955.471,4078.226,4322.206,4019.400,3986.844,4122.803,4543.794,4350.290
63,2781.589,3181.638,3365.617,4086.902,3628.211,3959.243,4071.607,4330.863,4002.125,3963.771,4106.131,4541.812,4340.420
64,2772.379,3188.362,3367.850,4102.079,3632.596,3945.414,4079.988,4323.945,4011.275,3982.688,4129.803,4524.866,4333.043
65,2781.379,3183.652,3381.500,4112.765,3628.635,3950.957,4088.988,4320.041,4008.562,3973.927,4125.606,4530.759,4358.348
66,2771.056,3173.029,3385.550,4094.294,3626.846,3963.914,4082.060,4314.774,4007.875,3979.698,4118.131,4528.500,4336.145
67,2780.984,3172.246,3380.100,4101.294,3626.096,3960.643,4086.833,4317.288,4012.050,3962.260,4109.771,4540.384,4352.667
