 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16
39,4463.135,4360.625,4486.219,4371.167,3785.654,3895.750,3167.382,3067.333,4337.405,4637.936,4548.346,4823.394,2987.881,3373.091,4290.147,3995.857
40,4466.961,4391.125,4485.094,4336.833,3779.769,3885.375,3162.941,3099.000,4313.243,4634.516,4519.346,4821.410,2998.381,3368.386,4274.206,3954.714
41,4450.923,4386.208,4509.719,4346.917,3797.000,3860.125,3159.941,3052.667,4283.486,4628.226,4552.231,4810.918,2996.428,3364.205,4242.441,3971.714
42,4467.923,4355.875,4480.250,4375.000,3786.731,3891.062,3166.500,3040.333,4310.729,4617.613,4557.231,4803.049,2989.810,3362.864,4273.206,3971.381
43,4452.846,4349.333,4493.875,4360.000,3763.423,3879.062,3167.735,3021.333,4334.162,4642.613,4533.615,4794.590,2987.262,3367.227,4288.500,3962.143
44,4466.942,4380.875,4481.531,4378.583,3797.500,3919.000,3164.265,3097.333,4327.811,4622.903,4557.846,4793.787,3003.857,3368.136,4284.500,3983.667
45,4454.885,4373.500,4496.844,4367.167,3771.769,3870.625,3163.471,3043.667,4331.189,4626.161,4524.115,4785.558,2981.667,3360.295,4289.588,4009.095
46,4460.769,4381.583,4492.594,4396.583,3775.000,3902.312,3159.118,3103.000,4331.000,4629.807,4528.461,4789.541,2971.738,3341.545,4267.118,4007.428
47,4455.654,4363.583,4516.000,4376.000,3794.846,3889.938,3169.118,3089.000,4339.865,4636.291,4564.039,4791.098,3002.928,3357.545,4279.412,3981.048
48,4464.096,4342.208,4505.656,4336.917,3783.385,3877.312,3179.647,3068.000,4306.729,4622.452,4550.192,4792.803,2982.214,3364.295,4268.147,3990.762
49,4460.173,4385.167,4475.062,4352.250,3780.000,3879.438,3164.618,3038.333,4353.676,4615.871,4546.961,4779.328,2999.714,3372.409,4273.618,3981.857
50,4445.519,4394.458,4479.719,4372.833,3770.308,3872.688,3182.235,3027.333,4324.108,4651.226,4542.269,4776.279,2987.619,3371.795,4245.471,4006.095
51,4475.327,4361.042,4478.188,4310.417,3776.154,3907.000,3182.265,3035.667,4325.378,4651.903,4550.692,4781.361,2980.548,3369.682,4271.441,3990.762
52,4449.250,4355.125,4485.094,4417.583,3772.269,3912.062,3154.794,2986.000,4319.838,4635.774,4539.577,4801.524,2979.024,3351.295,4282.441,3994.381
