 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9
68,4495.571,4048.714,3269.625,3107.500,3028.032,3243.938,3003.094,4281.500,4234.119
69,4522.857,4033.229,3307.250,3103.750,3027.677,3220.125,2990.031,4330.125,4257.643
70,4489.571,4055.343,3333.000,3151.333,3026.129,3241.562,2998.219,4317.562,4223.952
71,4505.500,4046.928,3321.250,3135.333,3019.484,3273.875,3001.719,4306.062,4241.714
72,4529.179,4046.229,3358.375,3073.083,3013.226,3232.625,3008.469,4303.406,4226.833
73,4513.607,4046.086,3318.000,3124.000,2993.677,3246.250,2988.438,4341.000,4228.714
74,4476.393,4042.900,3311.375,3125.083,3004.677,3246.938,2972.625,4304.438,4229.476
75,4501.571,4040.514,3285.750,3085.250,3023.161,3199.312,2998.344,4332.000,4239.738
76,4508.786,4031.314,3319.750,3092.083,3005.161,3225.000,2982.312,4312.531,4213.857
77,4487.750,4047.371,3265.250,3107.167,2985.742,3224.875,2981.562,4322.688,4221.024
78,4506.607,4031.943,3265.625,3110.750,2977.936,3239.875,2979.188,4299.688,4244.048
79,4523.464,4039.714,3284.875,3091.333,2974.548,3239.375,2976.531,4308.969,4224.524
80,4478.750,4023.243,3328.125,3085.667,2988.419,3210.000,2980.156,4291.219,4235.048
81,4489.393,4026.271,3279.250,3118.833,2972.581,3209.500,2970.406,4292.375,4214.905
82,4497.357,4040.329,3312.875,3082.250,2972.000,3216.250,2960.688,4293.531,4231.214
83,4495.893,4040.957,3265.625,3094.833,2987.710,3200.062,2971.719,4288.188,4243.095
84,4490.821,4036.286,3294.000,3076.500,2979.936,3227.000,2964.969,4318.125,4214.167
85,4498.429,4021.471,3283.375,3079.750,2984.387,3201.312,2960.531,4302.844,4227.071
86,4522.643,4016.243,3302.500,3075.333,2970.452,3206.812,2970.906,4301.344,4217.786
87,4480.357,4031.314,3286.250,3068.333,2986.258,3243.375,2950.844,4322.812,4223.643
88,4522.929,4025.971,3266.000,3104.333,2967.516,3244.312,2956.500,4306.094,4242.214
89,4513.714,4034.572,3339.250,3100.833,2988.839,3219.000,2957.312,4293.094,4239.381
90,4499.607,4050.814,3299.625,3095.833,2988.839,3244.750,2971.469,4289.844,4241.024
91,4491.000,4055.943,3276.125,3097.833,2941.677,3229.438,2952.125,4294.156,4258.619
92,4502.964,4042.314,3314.125,3066.000,2968.323,3221.000,2961.906,4311.125,4228.619
93,4499.607,4044.743,3258.625,3082.000,2967.226,3210.625,2964.281,4281.688,4237.738
94,4551.857,4033.729,3241.875,3067.750,2961.968,3211.625,2960.312,4342.031,4236.024
95,4482.857,4031.343,3262.250,3074.667,2973.968,3226.375,2950.312,4308.156,4241.000
96,4512.500,4043.371,3277.625,3079.000,2965.000,3212.500,2956.531,4299.562,4243.262
97,4517.643,4042.314,3250.750,3091.417,2959.097,3200.125,2974.312,4308.719,4256.714
98,4489.857,4069.871,3288.875,3077.833,2963.936,3218.375,2949.438,4323.344,4227.310
99,4498.964,4028.329,3295.375,3072.333,2965.936,3226.188,2958.125,4284.156,4235.476
100,4510.500,4042.900,3319.000,3036.250,2957.581,3205.812,2931.281,4296.125,4229.405
101,4497.286,4039.514,3255.625,3086.583,2952.516,3182.125,2948.656,4283.219,4223.286
102,4487.750,4036.743,3281.250,3082.167,2971.581,3200.250,2945.969,4321.281,4206.357
103,4501.071,4055.343,3251.125,3061.000,2968.903,3216.250,2952.281,4290.438,4240.143
104,4485.393,4036.086,3258.125,3091.083,2970.323,3219.250,2944.188,4317.281,4231.452
105,4504.321,4051.671,3297.875,3078.917,2947.613,3237.438,2944.969,4302.031,4245.071
106,4497.821,4047.057,3278.000,3073.750,2976.645,3205.250,2972.094,4303.812,4242.976
107,4482.750,4024.171,3280.375,3071.250,2950.387,3245.125,2963.219,4292.750,4225.500
108,4522.286,4034.271,3283.625,3048.333,2947.903,3234.188,2946.156,4286.750,4253.905
109,4470.750,4043.600,3285.750,3066.000,2945.129,3224.562,2970.312,4289.000,4228.810
110,4498.357,4037.629,3288.750,3046.583,2946.710,3204.812,2970.719,4322.000,4238.714
111,4509.679,4037.957,3277.125,3069.000,2955.839,3227.812,2959.562,4321.344,4232.262
112,4504.536,4025.843,3314.125,3089.750,2952.968,3238.250,2944.969,4318.375,4234.214
113,4489.607,4050.671,3302.000,3083.083,2945.710,3241.812,2938.094,4303.250,4210.619
114,4524.250,4034.300,3248.625,3075.167,2936.194,3182.438,2944.031,4305.094,4244.500
115,4466.036,4038.443,3293.500,3057.167,2959.387,3197.312,2936.031,4277.844,4221.429
116,4517.964,4050.829,3331.875,3173.083,3006.064,3306.188,2963.438,4334.344,4232.690
117,4596.750,4127.386,3521.875,3595.167,3424.581,3711.625,3183.906,4534.125,4232.786
118,4796.357,4266.071,3811.500,4254.833,4006.355,4213.750,3614.250,4795.469,4283.381
119,5038.393,4377.271,4074.375,4880.500,4487.419,4568.625,4030.000,5064.031,4360.619
120,5185.393,4491.429,4272.875,5404.833,4849.903,4792.938,4332.875,5220.875,4487.952
121,5375.893,4584.186,4445.500,5867.083,5080.903,4975.125,4608.688,5389.281,4578.905
122,5547.571,4657.500,4531.000,6258.583,5210.032,5055.125,4759.281,5514.688,4626.167
123,5665.964,4726.900,4597.250,6388.500,5297.291,5150.875,4853.625,5588.094,4669.310
124,5859.786,4779.943,4664.625,6599.500,5374.161,5200.000,4928.062,5638.250,4696.548
125,5972.000,4868.014,4724.375,6634.750,5412.774,5201.938,4991.875,5697.000,4778.262
126,6087.714,4869.929,4787.625,6673.833,5453.936,5233.000,5050.219,5697.250,4838.071
127,6218.214,4915.657,4794.125,6676.000,5491.387,5273.750,5033.906,5733.438,4906.190
128,6272.429,4924.043,4817.000,6724.417,5474.387,5274.562,5078.469,5735.438,4913.262
129,6389.214,4967.057,4831.500,6832.667,5466.161,5280.500,5083.000,5750.625,4927.690
130,6440.964,4956.443,4797.000,6801.667,5516.000,5322.500,5067.094,5755.500,4911.857
131,6522.929,4960.729,4892.500,6846.250,5541.613,5291.188,5092.344,5750.531,4896.095
132,6585.821,4985.643,4839.750,6770.750,5534.323,5326.812,5100.406,5767.188,4889.095
133,6639.357,4991.443,4840.625,6805.750,5518.936,5351.312,5120.812,5799.844,4959.976
134,6714.500,4985.872,4886.875,6785.167,5554.258,5376.812,5143.844,5769.000,5033.310
135,6753.000,5017.543,4886.750,6819.333,5515.097,5367.000,5126.344,5731.438,5047.762
136,6797.321,5028.986,4862.500,6712.083,5554.774,5380.938,5134.219,5771.844,5055.952
137,6798.857,5023.200,4913.500,6797.667,5546.645,5362.500,5137.250,5770.062,5046.690
138,6854.857,4998.300,4924.125,6833.750,5547.613,5390.312,5128.875,5765.938,5039.500
139,6849.536,5021.243,4859.375,6876.500,5545.129,5375.250,5134.156,5755.719,5034.190
140,6905.571,5022.343,4904.625,6803.500,5532.774,5366.438,5119.438,5731.906,5008.786
141,6942.786,5033.186,4932.375,6805.083,5557.258,5368.062,5160.344,5756.031,5007.214
142,6949.071,5010.143,4864.875,6804.333,5585.903,5367.750,5107.719,5760.250,4972.310
143,6931.643,5018.843,4886.500,6809.083,5572.839,5398.125,5142.938,5755.188,4941.976
144,6954.607,5001.457,4908.000,6770.000,5558.903,5401.562,5159.312,5760.000,4953.833
145,6969.643,5011.857,4875.125,6770.000,5557.452,5398.438,5137.031,5774.875,4932.690
146,6960.643,5003.429,4938.500,6780.417,5534.291,5360.000,5147.125,5746.281,4924.357
147,6941.393,5012.500,4866.125,6814.250,5563.709,5415.750,5165.750,5761.844,4942.095
148,6957.964,4996.628,4869.875,6733.750,5549.452,5373.812,5116.938,5761.156,4901.476
149,6968.857,5018.243,4910.250,6762.000,5565.903,5371.125,5164.156,5774.594,4866.024
150,6974.500,5013.286,4903.125,6810.333,5596.936,5432.750,5136.312,5741.812,4890.619
151,6946.821,4988.357,4888.000,6769.000,5576.581,5423.000,5129.406,5762.906,4862.595
152,6981.679,5005.128,4922.625,6815.917,5546.516,5368.438,5140.000,5732.469,4841.643
153,7015.357,5013.614,4879.750,6727.750,5571.516,5399.062,5152.500,5754.906,4826.810
154,6963.750,5000.057,4876.625,6748.917,5565.032,5350.500,5156.656,5718.688,4826.238
155,6983.964,5001.200,4916.125,6791.500,5540.032,5371.125,5135.469,5733.219,4828.071
156,7006.286,5014.257,4896.500,6754.667,5567.226,5419.812,5110.062,5709.188,4805.571
157,7007.821,5000.229,4923.000,6785.833,5540.226,5376.562,5084.281,5714.031,4797.429
158,7024.786,5002.414,4913.625,6748.917,5551.226,5380.000,5136.656,5721.500,4779.524
159,6981.071,5002.143,4907.875,6776.750,5584.129,5334.062,5105.562,5685.219,4789.500
160,7040.357,4987.000,4868.125,6770.583,5501.258,5372.000,5121.656,5661.781,4757.262
161,7001.929,4997.586,4866.125,6766.583,5528.097,5346.750,5120.062,5689.156,4782.976
162,6997.000,5011.628,4794.375,6718.917,5514.548,5350.750,5109.562,5698.531,4760.714
163,7014.679,5014.914,4858.000,6716.417,5553.387,5378.562,5094.250,5714.562,4747.524
164,7010.643,5012.600,4857.000,6752.000,5497.548,5374.312,5090.250,5712.062,4721.310
165,6952.964,4987.571,4874.625,6770.917,5545.000,5352.688,5120.656,5680.844,4720.190
166,6990.321,5004.686,4864.000,6710.750,5537.742,5344.625,5126.000,5677.062,4692.929
167,7009.250,4988.300,4807.500,6718.167,5545.387,5407.188,5099.375,5652.219,4703.405
168,7003.857,4957.443,4801.750,6706.583,5504.161,5356.812,5074.156,5664.625,4676.786
169,6964.321,4980.714,4800.875,6651.083,5534.709,5323.688,5060.906,5689.375,4689.548
170,6972.071,4972.786,4822.250,6741.083,5488.613,5317.750,5079.844,5681.938,4688.310
171,6954.143,4970.500,4764.000,6690.417,5523.226,5359.438,5094.781,5660.469,4653.690
172,6971.286,4956.386,4724.250,6694.250,5498.774,5337.625,5066.938,5679.344,4663.857
173,7021.286,4952.200,4744.500,6724.333,5532.419,5335.688,5062.750,5682.094,4624.929
174,6936.643,4946.343,4781.250,6761.333,5498.064,5331.875,5044.969,5651.938,4619.881
175,6977.321,4949.843,4702.375,6707.750,5467.774,5291.812,5090.531,5635.812,4625.095
176,6876.679,4943.943,4750.000,6639.083,5479.323,5342.438,5073.094,5634.469,4613.119
177,6914.714,4936.014,4727.875,6646.333,5487.936,5337.000,5035.656,5639.281,4592.381
178,6914.321,4938.586,4738.125,6611.917,5470.968,5327.688,5043.469,5590.250,4615.929
179,6877.036,4926.686,4626.125,6653.250,5460.807,5273.188,5029.469,5590.188,4591.714
180,6886.036,4924.300,4691.875,6690.000,5477.613,5337.438,5064.438,5624.000,4574.405
181,6875.607,4916.386,4643.625,6660.000,5481.258,5289.312,5057.438,5598.344,4559.429
182,6925.714,4908.029,4587.250,6613.833,5432.032,5306.938,5034.812,5608.250,4556.619
183,6861.250,4933.786,4584.500,6691.750,5414.581,5303.562,5052.156,5588.312,4548.667
184,6846.714,4945.243,4661.000,6702.167,5434.291,5314.062,5033.594,5582.625,4559.929
185,6844.321,4905.743,4693.125,6657.167,5412.581,5300.688,5024.688,5574.250,4531.381
186,6787.214,4917.257,4646.000,6600.750,5422.807,5232.375,5008.344,5550.844,4541.024
187,6792.357,4903.429,4685.125,6685.083,5392.968,5236.375,4995.375,5547.906,4527.548
188,6808.179,4928.000,4588.000,6720.167,5368.871,5270.125,4987.406,5552.375,4535.952
189,6778.286,4913.571,4595.500,6631.833,5373.742,5244.375,5001.875,5546.406,4524.143
190,6749.036,4913.714,4653.375,6662.583,5372.484,5228.000,4997.594,5569.719,4506.381
191,6762.821,4891.686,4640.250,6667.667,5377.226,5289.938,5012.031,5548.094,4528.190
192,6752.071,4900.214,4650.250,6622.667,5373.226,5241.188,4979.094,5581.375,4499.214
193,6795.214,4909.429,4574.750,6632.250,5368.161,5266.438,5010.531,5581.531,4505.548
194,6832.607,4880.571,4576.625,6622.583,5332.032,5267.562,4979.531,5573.344,4494.452
195,6822.464,4886.314,4511.375,6687.167,5344.742,5255.500,4945.281,5577.375,4496.238
196,6795.286,4877.372,4518.750,6697.833,5292.097,5236.438,4969.188,5551.250,4474.976
197,6783.143,4871.214,4488.125,6582.833,5315.032,5190.688,4982.531,5583.125,4461.595
198,6778.679,4858.243,4510.375,6582.417,5316.774,5188.875,4928.500,5584.281,4461.429
199,6773.607,4848.229,4438.125,6595.833,5297.032,5194.750,4931.250,5483.094,4449.500
200,6732.893,4865.886,4415.750,6609.583,5317.226,5237.250,4923.750,5525.531,4455.548
201,6732.107,4864.186,4322.250,6664.750,5295.258,5235.812,4923.000,5526.438,4449.976
202,6716.357,4851.614,4350.000,6570.500,5270.226,5216.375,4927.000,5558.938,4456.024
203,6708.071,4831.029,4361.250,6600.250,5246.161,5233.125,4919.250,5474.750,4424.262
204,6710.679,4858.186,4348.875,6617.833,5261.323,5202.188,4923.500,5518.500,4431.286
205,6667.286,4839.286,4355.750,6575.583,5275.645,5160.250,4926.594,5480.188,4419.071
206,6610.429,4830.357,4274.750,6586.333,5259.936,5200.125,4887.750,5457.469,4412.786
207,6616.964,4835.900,4365.000,6591.750,5275.677,5184.250,4901.188,5484.688,4406.738
208,6594.857,4850.943,4347.500,6624.333,5216.742,5223.062,4887.875,5408.969,4407.667
209,6567.714,4821.457,4407.375,6530.917,5190.709,5128.000,4903.562,5469.562,4414.976
210,6538.321,4833.543,4394.125,6564.083,5246.871,5184.312,4865.219,5493.000,4403.167
211,6517.179,4844.443,4360.750,6646.333,5185.516,5207.625,4873.469,5473.750,4366.976
212,6481.500,4828.900,4403.750,6633.417,5173.484,5211.438,4878.531,5423.781,4394.810
213,6502.179,4826.914,4344.125,6627.167,5199.613,5138.438,4873.719,5422.031,4380.643
214,6475.071,4809.471,4286.750,6501.750,5197.129,5159.938,4857.312,5455.406,4379.881
215,6459.714,4804.414,4285.375,6599.333,5183.193,5199.188,4861.219,5436.031,4383.690
216,6464.536,4817.100,4286.000,6531.083,5187.387,5150.688,4877.312,5464.750,4378.667
217,6424.179,4808.243,4240.750,6555.417,5185.097,5211.375,4889.094,5419.062,4395.262
218,6406.464,4804.586,4237.375,6473.833,5200.355,5165.312,4884.406,5403.594,4376.714
219,6404.036,4795.700,4281.500,6549.583,5153.516,5174.250,4850.844,5398.125,4390.714
220,6355.500,4790.929,4200.375,6534.083,5131.064,5147.000,4880.781,5368.344,4370.738
221,6355.214,4805.229,4230.250,6497.417,5179.226,5103.938,4831.906,5367.000,4350.238
222,6339.714,4804.286,4200.500,6437.583,5169.226,5148.500,4843.406,5355.031,4355.976
223,6329.250,4821.043,4170.625,6524.917,5126.193,5120.375,4853.812,5358.750,4362.500
224,6291.964,4794.729,4129.000,6514.500,5092.968,5077.125,4822.406,5343.219,4351.619
225,6284.000,4787.571,4120.250,6544.417,5105.613,5074.188,4791.594,5332.656,4356.571
226,6276.857,4785.128,4131.875,6470.833,5072.193,5078.625,4801.500,5314.656,4355.119
227,6198.464,4781.957,4121.250,6477.083,5082.419,5077.062,4833.688,5326.375,4325.738
228,6249.071,4781.086,4084.625,6513.167,5115.097,5104.688,4806.812,5334.375,4356.333
229,6163.179,4803.114,4051.125,6523.333,5113.291,5099.062,4813.688,5345.562,4352.929
230,6211.536,4800.729,4000.375,6526.917,5096.032,5140.312,4798.938,5405.438,4314.238
231,6203.107,4795.600,3965.750,6533.917,5122.258,5119.750,4797.281,5379.781,4325.667
232,6165.679,4792.557,4022.500,6484.250,5055.387,5169.688,4813.656,5380.594,4321.048
233,6126.393,4783.128,4046.625,6485.167,5059.387,5108.750,4769.719,5355.844,4312.143
234,6141.036,4768.128,3998.000,6494.583,5060.742,5147.500,4778.625,5363.062,4340.214
235,6113.321,4780.114,3975.500,6484.250,5073.419,5113.875,4779.312,5346.125,4332.167
236,6102.000,4782.271,3938.125,6504.000,5024.645,5049.562,4772.812,5336.375,4320.262
237,6070.286,4798.557,3915.750,6450.500,5047.839,5054.625,4763.094,5307.438,4319.571
238,6025.321,4777.486,3962.250,6402.917,5063.742,5086.000,4754.688,5296.594,4312.286
239,6033.464,4774.071,3904.375,6486.417,5030.709,5063.875,4746.219,5313.469,4329.476
240,6043.000,4766.300,3917.125,6418.417,5031.516,5080.688,4743.656,5282.938,4309.548
241,5977.393,4764.171,3904.000,6493.000,4991.807,5034.438,4729.250,5280.062,4296.262
242,5980.214,4770.100,3888.125,6441.417,5028.226,5041.688,4717.812,5284.781,4312.881
243,5995.643,4749.771,3857.625,6455.250,4972.387,5068.938,4727.844,5239.125,4311.524
244,5924.786,4754.757,3854.625,6409.750,4975.129,5029.312,4694.750,5243.875,4317.048
245,5906.286,4762.386,3810.000,6377.667,4981.419,5003.625,4715.875,5246.250,4311.000
246,5887.321,4754.771,3842.875,6426.500,4962.903,5011.125,4715.750,5205.219,4300.190
247,5876.214,4737.214,3836.250,6383.250,4947.419,5013.812,4730.031,5220.781,4296.571
248,5866.536,4764.343,3830.750,6407.167,4952.064,5029.125,4724.312,5184.875,4275.071
249,5900.214,4772.743,3786.750,6414.750,4914.452,4981.188,4715.406,5219.188,4309.786
250,5847.714,4729.571,3771.875,6456.667,4907.516,5007.625,4692.281,5178.000,4308.762
251,5834.179,4731.514,3849.125,6403.833,4935.548,4969.812,4721.969,5185.594,4312.167
252,5827.964,4757.486,3804.875,6398.250,4923.000,4949.562,4744.219,5153.750,4301.952
253,5802.607,4763.714,3790.375,6397.583,4932.291,4947.562,4745.156,5125.656,4299.714
254,5794.857,4741.500,3770.625,6417.833,4891.936,4978.375,4745.938,5164.062,4300.190
255,5781.286,4765.543,3774.250,6400.750,4908.161,4950.625,4719.406,5129.406,4283.238
256,5727.071,4759.671,3759.000,6398.833,4896.903,5025.688,4734.781,5173.906,4296.833
257,5744.429,4753.729,3741.250,6381.917,4948.452,5073.750,4747.156,5173.312,4282.571
258,5779.429,4767.771,3805.875,6404.417,4921.097,5014.625,4744.125,5197.969,4286.476
259,5745.821,4764.586,3723.125,6419.333,4919.774,5062.938,4738.094,5232.000,4270.310
260,5709.143,4756.886,3740.875,6444.500,4923.452,5061.000,4753.344,5194.969,4270.786
261,5694.500,4745.300,3793.250,6426.083,4900.807,5009.375,4737.156,5224.375,4287.190
262,5676.000,4751.829,3890.000,6379.750,4889.000,5047.625,4748.312,5215.500,4291.595
263,5703.357,4746.743,3975.500,6473.583,4890.516,4997.375,4755.094,5210.781,4271.833
264,5704.321,4725.886,4042.750,6432.250,4902.839,4996.125,4746.406,5183.344,4281.405
265,5674.321,4729.886,4050.625,6350.500,4872.709,4992.938,4740.938,5240.281,4270.071
266,5613.429,4723.443,4021.125,6413.750,4884.161,5091.938,4748.938,5264.188,4240.333
267,5655.857,4726.771,4112.500,6424.667,4895.548,5052.812,4755.625,5290.281,4272.167
268,5644.679,4728.500,4015.375,6398.500,4885.355,5116.250,4736.656,5262.312,4281.548
269,5616.357,4740.857,4024.750,6421.667,4862.097,5059.000,4730.781,5262.406,4278.524
270,5590.750,4730.500,4006.125,6377.917,4854.936,5065.500,4728.438,5239.812,4274.714
271,5640.929,4713.657,3928.250,6378.750,4837.291,5065.312,4702.500,5207.750,4293.762
272,5557.000,4730.943,3969.000,6387.417,4864.936,5004.875,4701.812,5218.125,4274.190
273,5548.964,4711.771,3983.250,6403.667,4871.452,5059.500,4702.469,5227.438,4292.929
274,5543.464,4708.314,3930.375,6376.667,4814.871,5034.438,4690.375,5214.188,4266.452
275,5507.964,4704.200,3817.750,6399.250,4785.032,5015.000,4711.656,5213.531,4260.119
276,5514.857,4711.071,3856.500,6431.750,4794.516,4998.312,4702.281,5167.875,4277.071
277,5505.286,4715.529,3885.750,6433.917,4777.709,4997.125,4695.812,5184.125,4246.262
278,5494.321,4689.671,3883.000,6405.083,4766.548,4979.500,4701.844,5198.719,4237.595
279,5479.250,4708.286,3876.375,6410.750,4785.452,4973.875,4665.531,5192.844,4269.214
280,5458.893,4686.671,3773.125,6431.333,4790.258,4952.125,4675.531,5158.844,4267.833
281,5462.964,4694.600,3825.875,6396.583,4758.871,5006.188,4658.094,5167.375,4259.810
282,5458.536,4700.657,3770.250,6413.250,4767.226,5012.812,4658.469,5215.094,4259.548
283,5420.250,4701.814,3764.125,6435.250,4782.516,5052.500,4697.438,5208.500,4252.048
284,5449.679,4693.500,3803.250,6404.750,4776.645,5008.750,4661.094,5216.250,4248.595
285,5406.964,4700.771,3794.125,6384.083,4750.484,5049.812,4678.156,5212.438,4231.238
286,5400.786,4692.357,3744.500,6413.083,4745.452,5005.938,4669.562,5205.594,4241.333
287,5394.429,4691.829,3748.875,6363.417,4730.613,4977.938,4650.969,5199.812,4266.714
288,5380.929,4710.714,3719.625,6363.750,4710.129,5022.312,4641.375,5195.438,4250.762
289,5372.536,4664.386,3689.750,6377.583,4736.936,5017.062,4628.344,5169.875,4246.881
290,5386.321,4697.414,3725.125,6406.083,4661.226,4941.500,4642.781,5167.469,4227.619
291,5365.357,4681.628,3738.125,6345.833,4667.097,4975.750,4628.406,5184.938,4258.548
292,5314.679,4688.443,3715.875,6410.083,4681.226,4987.938,4644.375,5160.406,4255.762
293,5327.321,4703.586,3682.000,6384.583,4706.097,4972.312,4699.469,5136.031,4244.214
