 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11
56,3695.027,4940.286,4450.750,4227.459,3286.850,3798.172,4472.000,4242.250,3166.192,3440.400,4175.273
57,3693.216,4940.786,4415.312,4220.352,3297.100,3803.172,4454.417,4237.125,3150.423,3444.500,4196.727
58,3721.946,4952.714,4451.875,4251.162,3265.100,3808.517,4469.000,4254.000,3148.346,3389.300,4199.273
59,3698.432,4945.821,4431.000,4230.919,3285.100,3820.000,4531.833,4214.500,3163.923,3415.600,4218.000
60,3705.000,4939.036,4436.312,4230.135,3281.500,3801.000,4499.167,4235.875,3148.923,3414.900,4204.091
61,3701.622,4936.429,4457.250,4207.973,3283.150,3799.690,4456.833,4268.875,3159.423,3422.700,4273.273
62,3724.406,4922.571,4463.938,4210.243,3268.000,3816.879,4446.083,4212.750,3163.115,3429.800,4226.636
63,3684.730,4932.036,4449.188,4218.216,3306.900,3810.190,4456.333,4195.625,3158.654,3438.600,4221.273
64,3703.189,4950.929,4485.375,4227.622,3240.600,3803.621,4458.167,4263.375,3158.115,3462.800,4212.455
65,3710.622,4940.929,4453.250,4208.973,3267.600,3792.931,4538.083,4209.750,3163.808,3411.100,4196.273
66,3703.757,4934.429,4476.500,4223.865,3284.300,3815.500,4510.667,4280.500,3173.500,3439.200,4207.636
67,3716.973,4951.857,4455.312,4201.567,3260.900,3791.517,4472.333,4258.250,3160.385,3403.600,4248.909
68,3714.730,4934.000,4485.500,4212.324,3240.200,3804.345,4506.167,4227.750,3153.346,3402.300,4255.182
69,3716.513,4956.643,4415.125,4237.297,3274.400,3784.517,4522.000,4288.125,3180.039,3467.600,4181.182
70,3706.703,4960.000,4458.562,4197.703,3269.700,3790.310,4487.417,4288.000,3167.808,3429.500,4241.636
71,3712.973,4928.036,4466.062,4240.405,3277.500,3799.638,4517.000,4208.625,3163.077,3408.400,4239.182
72,3712.730,4962.786,4437.000,4254.811,3279.700,3792.638,4464.083,4253.000,3169.077,3399.700,4237.273
73,3719.108,4933.643,4444.688,4231.838,3292.750,3809.224,4507.250,4250.750,3150.461,3405.600,4217.545
74,3700.459,4919.607,4438.375,4220.189,3297.500,3793.776,4447.917,4287.750,3143.269,3436.300,4174.909
75,3716.784,4945.071,4445.812,4232.919,3271.700,3820.845,4490.417,4238.875,3166.923,3411.300,4208.545
76,3693.432,4949.607,4454.000,4211.703,3260.100,3817.759,4462.500,4293.750,3141.500,3454.500,4199.091
77,3706.054,4907.143,4467.875,4238.108,3293.900,3802.896,4455.667,4213.750,3155.385,3415.600,4252.818
78,3719.000,4948.714,4475.000,4230.514,3276.350,3809.276,4497.750,4266.500,3175.500,3377.100,4225.727
79,3722.135,4923.536,4455.875,4228.838,3271.200,3808.862,4484.833,4289.500,3144.077,3415.300,4178.273
80,3707.027,4959.107,4461.750,4226.811,3330.000,3813.896,4462.500,4246.125,3134.077,3434.600,4219.636
81,3717.108,4927.929,4462.188,4215.514,3269.650,3797.500,4488.000,4222.250,3175.692,3451.800,4231.636
82,3709.757,4919.393,4449.500,4215.892,3286.850,3809.707,4503.167,4232.250,3166.308,3422.000,4226.818
83,3712.838,4910.929,4460.000,4221.703,3266.200,3806.776,4459.250,4212.125,3152.346,3451.600,4215.636
84,3714.703,4986.607,4472.000,4239.648,3269.900,3801.707,4469.000,4236.250,3151.115,3418.300,4212.818
85,3725.568,4953.571,4473.312,4229.352,3263.350,3811.293,4489.250,4263.000,3162.385,3414.900,4233.909
86,3703.432,4928.357,4464.875,4219.757,3283.150,3796.104,4513.750,4268.875,3179.423,3418.900,4204.727
87,3714.649,4940.643,4471.500,4207.189,3272.400,3786.466,4451.417,4210.125,3151.885,3415.100,4214.818
88,3708.054,4944.714,4461.875,4217.892,3283.800,3799.655,4502.500,4260.500,3163.000,3444.900,4226.455
89,3708.487,4919.036,4475.438,4202.108,3276.650,3794.724,4468.833,4236.000,3165.154,3451.800,4243.364
