 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6
1,4630.385,3847.750,4292.774,3041.382,3158.838,4625.111
2,4615.385,3835.719,4286.484,3053.735,3144.243,4597.667
3,4615.423,3845.844,4274.807,3054.529,3157.459,4586.139
4,4616.423,3841.688,4289.419,3030.618,3142.838,4598.722
5,4636.846,3838.812,4288.548,3024.823,3159.324,4587.889
6,4606.115,3830.844,4291.355,3052.618,3155.406,4596.361
7,4638.115,3845.094,4299.193,3064.294,3149.054,4594.306
8,4641.269,3836.062,4307.936,3047.029,3159.622,4610.250
9,4630.039,3830.938,4303.839,3025.677,3149.811,4583.389
10,4622.423,3823.281,4286.548,3047.206,3148.027,4595.583
11,4630.077,3850.406,4286.903,3027.500,3144.378,4589.639
12,4618.231,3846.375,4294.291,3034.265,3170.946,4587.083
13,4602.500,3839.281,4315.129,3037.323,3150.135,4576.583
14,4590.654,3807.938,4315.677,3033.147,3153.270,4598.833
15,4577.769,3812.625,4289.613,3036.559,3150.216,4603.778
16,4606.346,3810.531,4320.742,3031.353,3139.162,4564.306
17,4587.961,3834.594,4307.419,3044.118,3149.081,4591.444
18,4602.000,3839.688,4299.032,3031.500,3144.487,4564.389
19,4584.231,3844.875,4308.291,3056.294,3143.568,4596.861
20,4607.115,3799.375,4287.581,3049.765,3144.081,4595.667
21,4594.539,3839.281,4321.613,3048.853,3154.541,4632.500
22,4592.731,3829.438,4315.742,3053.323,3146.270,4597.917
23,4597.577,3823.156,4279.161,3037.706,3168.541,4577.944
24,4580.000,3819.219,4296.226,3054.471,3163.324,4594.944
25,4577.769,3817.906,4299.645,3051.294,3155.162,4603.944
26,4546.461,3836.125,4308.968,3031.500,3175.892,4599.333
27,4575.692,3807.125,4274.291,3036.441,3171.487,4588.667
28,4566.231,3833.719,4301.291,3048.177,3152.973,4569.750
29,4588.000,3818.625,4300.645,3048.794,3137.703,4594.806
30,4591.423,3820.875,4285.097,3049.265,3158.811,4570.889
31,4541.615,3834.500,4321.645,3045.294,3173.568,4603.694
32,4523.346,3824.344,4307.581,3056.353,3155.757,4596.972
33,4571.308,3840.500,4290.000,3031.647,3144.973,4587.056
34,4545.654,3872.531,4314.613,3036.647,3156.973,4603.833
35,4561.231,3876.438,4327.871,3057.323,3152.649,4585.222
36,4548.808,3892.312,4302.323,3034.647,3139.027,4579.611
37,4567.846,3875.562,4295.000,3059.323,3161.459,4585.694
38,4525.769,3860.531,4303.452,3048.118,3161.703,4604.667
39,4569.231,3872.062,4298.903,3049.265,3159.081,4596.444
40,4540.731,3861.250,4315.323,3035.706,3153.027,4596.583
41,4536.654,3865.844,4298.000,3041.706,3157.838,4597.389
42,4539.423,3870.812,4299.355,3037.294,3155.027,4583.028
43,4551.846,3852.750,4304.032,3041.559,3146.676,4576.944
44,4508.346,3864.219,4278.387,3040.029,3132.676,4588.778
45,4541.000,3845.875,4316.968,3034.118,3146.865,4568.611
46,4512.000,3882.375,4305.839,3035.382,3143.406,4577.472
47,4549.846,3866.375,4284.645,3038.823,3131.000,4574.750
48,4532.308,3872.281,4309.516,3035.588,3139.351,4588.194
